isic_section,isic_section_name,isic_division,isic_division_name,industry_sk,industry_name,Industry_group_sk,Industry_group_name
A, A. Agriculture; forestry and fishing,1,"Crop and animal production, hunting and related service activities",63,farming,1,Agriculture
A, A. Agriculture; forestry and fishing,1,"Crop and animal production, hunting and related service activities",64,ranching,1,Agriculture
A, A. Agriculture; forestry and fishing,1,"Crop and animal production, hunting and related service activities",65,dairy,1,Agriculture
A, A. Agriculture; forestry and fishing,3,Fishing and aquaculture,66,fishery,1,Agriculture
B, B. Mining and quarrying,5,Mining of coal and lignite,56,mining & metals,16,Energy and Mining
B, B. Mining and quarrying,6,Extraction of crude petroleum and natural gas,57,oil & energy,16,Energy and Mining
C, C. Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equip",2,defense and space,10,Manufacturing
C, C. Manufacturing,21,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",15,pharmaceuticals,12,Healthcare
C, C. Manufacturing,10,Manufacture of food products,23,food production,10,Manufacturing
C, C. Manufacturing,30,Manufacture of other transport equipment,52,aviation and aerospace,10,Manufacturing
C, C. Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",53,automotive,10,Manufacturing
C, C. Manufacturing,20,Manufacture of chemicals and chemical products,54,chemicals,10,Manufacturing
C, C. Manufacturing,28,Manufacture of machinery and equipment n.e.c.,55,machinery,10,Manufacturing
C, C. Manufacturing,30,Manufacture of other transport equipment,58,shipbuilding,10,Manufacturing
C, C. Manufacturing,13,Manufacture of textiles,60,textiles,10,Manufacturing
C, C. Manufacturing,17,Manufacture of paper and paper products,61,paper & forest products,10,Manufacturing
C, C. Manufacturing,30,Manufacture of other transport equipment,62,railroad manufacture,10,Manufacturing
C, C. Manufacturing,18,Printing and reproduction of recorded media,83,printing,11,Media & Communications
C, C. Manufacturing,26,"Manufacture of computer, electronic and optical products",112,electrical and electronic manufacturing,10,Manufacturing
C, C. Manufacturing,22,Manufacture of rubber and plastics products,117,plastics,10,Manufacturing
C, C. Manufacturing,32,Other manufacturing,144,renewables and environment,10,Manufacturing
C, C. Manufacturing,32,Other manufacturing,145,"glass, ceramics and concrete",10,Manufacturing
C, C. Manufacturing,32,Other manufacturing,146,packaging and containers,10,Manufacturing
C, C. Manufacturing,32,Other manufacturing,147,industrial automation,10,Manufacturing
D," D. Electricity; gas, steam and air conditioning supply",35,"electricity; gas, steam and air conditioning supply",59,utilities,16,Energy and Mining
F, F. Construction,41,Construction of buildings,48,construction,3,Construction
F, F. Construction,43,Not_mapped,49,building materials,3,Construction
F, F. Construction,42,Civil engineering,51,civil engineering,3,Construction
G, G. Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",18,cosmetics,4,Consumer goods
G, G. Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",19,apparel and fashion,4,Consumer goods
G, G. Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",20,sporting goods,4,Consumer goods
G, G. Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",21,tobacco,4,Consumer goods
G, G. Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",22,supermarkets,24,Retail
G, G. Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",24,consumer electronics,4,Consumer goods
G, G. Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",25,consumer goods,4,Consumer goods
G, G. Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",26,furniture,4,Consumer goods
G, G. Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",27,retail,24,Retail
G, G. Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",34,food & beverages,4,Consumer goods
G, G. Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",91,consumer services,4,Consumer goods
G, G. Wholesale and retail trade; repair of motor vehicles and motorcycles,46,"Wholesale trade, except of motor vehicles and motorcycles",133,wholesale,24,Retail
G, G. Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",142,wine and spirits,4,Consumer goods
G, G. Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",143,luxury goods and jewelry,4,Consumer goods
H, H. Transportation and storage,53,Postal and courier activities,87,package/freight delivery,15,Transportation & Logistics
H, H. Transportation and storage,49,Land transport and transport via pipelines,92,transportation/trucking/railroad,15,Transportation & Logistics
H, H. Transportation and storage,52,Warehousing and support activities for transportation,93,warehousing,15,Transportation & Logistics
H, H. Transportation and storage,51,Air transport,94,airlines/aviation,14,Recreation and Travel
H, H. Transportation and storage,50,Water transport,95,maritime,15,Transportation & Logistics
H, H. Transportation and storage,52,Warehousing and support activities for transportation,116,logistics and supply chain,15,Transportation & Logistics
H, H. Transportation and storage,52,Warehousing and support activities for transportation,134,import and export,15,Transportation & Logistics
I, I. Accommodation and food service activities,55,Accommodation,31,hospitality,14,Recreation and Travel
I, I. Accommodation and food service activities,56,Food and services activities,32,restaurants,14,Recreation and Travel
J, J. Information and communication,62,"Computer programming, consultancy and related activities",3,computer hardware,19,Hardware & Netwoking
J, J. Information and communication,62,"Computer programming, consultancy and related activities",4,computer software,8,Software & IT Services
J, J. Information and communication,62,"Computer programming, consultancy and related activities",5,computer networking,19,Hardware & Netwoking
J, J. Information and communication,61,Telecommunications,6,Internet,8,Software & IT Services
J, J. Information and communication,62,"Computer programming, consultancy and related activities",7,semiconductors,19,Hardware & Netwoking
J, J. Information and communication,61,Telecommunications,8,telecommunications,19,Hardware & Netwoking
J, J. Information and communication,59,"Motion picture, video and television programme production, sound recording",35,motion pictures and film,18,Entertainment
J, J. Information and communication,60,Programming and broadcasting activities,36,broadcast media,18,Entertainment
J, J. Information and communication,58,Publishing activities,81,newspapers,11,Media & Communications
J, J. Information and communication,58,Publishing activities,82,publishing,11,Media & Communications
