"","county","state","FIPS","pop_total_2010","pop_total_2011","pop_total_2012","pop_total_2013","pop_total_2014","pop_total_2015","pop_total_2016","pop_total_2017","pop_total_2018","pop_lt_18_2010","pop_lt_18_2011","pop_lt_18_2012","pop_lt_18_2013","pop_lt_18_2014","pop_lt_18_2015","pop_lt_18_2016","pop_lt_18_2017","pop_lt_18_2018","pop_18_to_64_2010","pop_18_to_64_2011","pop_18_to_64_2012","pop_18_to_64_2013","pop_18_to_64_2014","pop_18_to_64_2015","pop_18_to_64_2016","pop_18_to_64_2017","pop_18_to_64_2018","pop_gt_65_2010","pop_gt_65_2011","pop_gt_65_2012","pop_gt_65_2013","pop_gt_65_2014","pop_gt_65_2015","pop_gt_65_2016","pop_gt_65_2017","pop_gt_65_2018","pop_median_2010","pop_median_2011","pop_median_2012","pop_median_2013","pop_median_2014","pop_median_2015","pop_median_2016","pop_median_2017","pop_median_2018","pop_pct_change_2016_17","pop_pct_change_2010_11","pct_gt_high_school","pct_gt_bachelors","pct_public_ins_lt_65","pct_public_ins_lt_19","pct_public_ins_19_to_64","unemployment_pct","pct_married_15_over","pct_2_plus_races","pct_white","pct_black","pct_am_ind_AK_native","pct_asian","pct_HA_pacific_islander","pct_hispanic","med_hh_income","pct_govt_cash_asst","pct_food_stamps","pct_lt_poverty","pct_private_ins_lt_65","pct_private_ins_lt_19","pct_private_ins_19_to_64"
"1","Autauga","Alabama",1001,54571,55208,54936,54713,54876,54838,55242,55443,55601,14614,14371,14153,13734,13605,13397,13326,13240,13163,33414,33966,33582,33555,33662,33590,33815,33812,33785,6546,6871,7201,7424,7609,7851,8101,8391,8653,37.1,37.3,37.7,38.1,38.2,38.6,38.7,38.8,39.1,0.36385359,1.167286654,87.7,25,21.6992704,38.047138,14.464003,3.9,56.1,1.7,76.6,19.1,0.3,0.9,0.1,2.7,72110,1.3,12.9,10.9,0.724492651,0.609638047,0.775325199
"2","Baldwin","Alabama",1003,182265,186540,190143,194886,199189,202995,207712,212619,218022,41898,42657,43015,43799,44357,44984,45544,46399,47110,109798,112075,113587,115940,117899,119478,121688,123746,126341,30568,31808,33541,35147,36933,38533,40480,42474,44571,41.2,41.4,41.7,41.9,42.2,42.4,42.8,43,43.3,2.362405639,2.345485968,90.2,30.7,20.3072898,35.7772994,13.9588259,4.1,52.4,1.6,86.5,9.5,0.8,0.7,0,4.4,73061,1.7,8.1,8.2,0.709566883,0.648558524,0.734603026
"3","Barbour","Alabama",1005,27457,27350,27174,26944,26758,26294,25819,25158,24881,6015,5925,5817,5700,5665,5578,5475,5249,5192,17533,17409,17174,16937,16669,16156,15663,15149,14857,3909,4016,4183,4307,4424,4560,4681,4760,4832,39.1,39.4,39.7,39.8,39.9,40,40.3,40.9,40.9,-2.560130137,-0.389700259,73.1,12,37.7919544,64.4693701,26.0552688,5.8,41.7,0.8,46.6,48,0.2,0.6,0,4.2,45445,2.6,26.5,20.5,0.53329467,0.3594478,0.609778318
"4","Bibb","Alabama",1007,22915,22747,22664,22516,22541,22562,22576,22555,22400,5202,4982,4853,4780,4725,4674,4690,4642,4587,14812,14767,14664,14517,14464,14454,14371,14286,14123,2906,2998,3147,3219,3352,3434,3515,3627,3690,37.9,38.4,38.8,39.2,39.5,39.7,39.7,39.8,40,-0.093019135,-0.733144229,82.1,13.2,27.29322,45.1482752,20.1231367,4.4,48.2,0.8,76.7,22.1,0.4,0,0,2.4,61099,6.2,12.8,11.9,0.704063349,0.625781723,0.735499028
"5","Blount","Alabama",1009,57322,57554,57570,57611,57521,57522,57517,57827,57840,14106,14058,13892,13809,13592,13486,13447,13483,13392,34776,34816,34632,34420,34185,34040,33876,33998,33900,8439,8680,9046,9382,9744,9996,10194,10346,10548,39.1,39.3,39.7,40,40.5,40.7,40.9,40.8,40.9,0.538971087,0.404731168,79.8,13.1,22.4097604,37.991573,15.7298973,4,58.5,1.7,95.5,1.6,0.4,0.1,0,9,58974,1.2,10.7,11.1,0.691805213,0.613061798,0.725562212
"6","Bullock","Alabama",1011,10914,10677,10607,10551,10665,10400,10381,10176,10138,2430,2378,2276,2219,2214,2131,2141,2120,2137,7014,6850,6838,6802,6889,6674,6612,6421,6340,1469,1449,1493,1530,1562,1595,1628,1635,1661,38.5,38.8,39.1,39.3,39.3,39.6,39.5,39.5,39.2,-1.974761584,-2.171522815,71.4,13.4,39.0606836,77.5929978,25.1226848,4.9,30.2,0.7,21.9,75.6,1,0.7,0,0.3,42317,4.6,24.6,29.7,0.473959544,0.227133479,0.563242045
"7","Butler","Alabama",1013,20947,20878,20687,20374,20343,20176,20029,19898,19680,5056,4994,4896,4736,4700,4616,4555,4502,4378,12399,12371,12228,12005,11953,11815,11649,11495,11307,3489,3513,3563,3633,3690,3745,3825,3901,3995,40.1,40.2,40.2,40.7,40.7,40.8,41,41.2,41.7,-0.654051625,-0.329402778,81.1,16.1,31.3415385,52.7395811,22.5635685,5.5,40.8,1.5,52.4,44.9,0.1,1.1,0,0.3,47812,1.5,19.3,19.3,0.6064,0.519356886,0.64210709
"8","Calhoun","Alabama",1015,118572,117797,117257,116541,115995,115536,115018,114664,114277,27128,26757,26300,25928,25706,25480,25279,25017,24695,74464,73761,73154,72463,71698,71079,70324,69770,69335,16990,17279,17803,18150,18591,18977,19415,19877,20247,38.3,38.7,38.9,39,39.2,39.5,39.6,39.8,40,-0.307777913,-0.653611308,83.2,17.9,29.2518076,51.2935635,20.4770207,5,48.4,2.3,74.6,20.5,0.4,1,0,3.6,58788,1.6,17.8,14.9,0.649282196,0.531299452,0.696250934
"9","Chambers","Alabama",1017,34215,34030,34104,34143,33980,34007,33771,33758,33615,7687,7493,7417,7321,7261,7227,7108,7100,6992,20779,20696,20690,20733,20516,20475,20289,20205,20061,5706,5841,5997,6089,6203,6305,6374,6453,6562,41.7,41.9,42,42.1,42.4,42.5,42.6,42.5,42.7,-0.038494566,-0.540698524,80.9,13.3,29.7603851,56.3559322,19.650677,4.1,44.8,1,57.7,39.3,0.3,1,0,2.2,51434,1.1,16.4,14,0.598964222,0.418432203,0.66758947
"10","Cherokee","Alabama",1019,25989,25994,25963,26025,25902,25739,25776,25815,26032,5563,5519,5458,5418,5321,5194,5165,5068,4990,15773,15709,15525,15396,15173,14966,14891,14874,15062,4651,4766,4980,5211,5408,5579,5720,5873,5980,44,44.3,44.7,45,45.3,45.9,46.1,46.5,46.9,0.151303538,0.019238909,79.5,12.5,30.5061357,50.8496254,22.9923067,4.1,58.8,1,93.1,5,0.5,0.2,0,1.6,54671,1.4,17.2,12.8,0.647134197,0.52822949,0.691051424
