FIPS,State,County_Name,RUCC_2013
1001,AL,Autauga County,2
1003,AL,Baldwin County,3
1005,AL,Barbour County,6
1007,AL,Bibb County,1
1009,AL,Blount County,1
1011,AL,Bullock County,6
1013,AL,Butler County,6
1015,AL,Calhoun County,3
1017,AL,Chambers County,6
1019,AL,Cherokee County,6
1021,AL,Chilton County,1
1023,AL,Choctaw County,9
1025,AL,Clarke County,7
1027,AL,Clay County,9
1029,AL,Cleburne County,8
1031,AL,Coffee County,4
1033,AL,Colbert County,3
1035,AL,Conecuh County,7
1037,AL,Coosa County,8
1039,AL,Covington County,6
1041,AL,Crenshaw County,8
1043,AL,Cullman County,4
1045,AL,Dale County,4
1047,AL,Dallas County,4
1049,AL,DeKalb County,6
1051,AL,Elmore County,2
1053,AL,Escambia County,6
1055,AL,Etowah County,3
1057,AL,Fayette County,6
1059,AL,Franklin County,6
1061,AL,Geneva County,3
1063,AL,Greene County,8
1065,AL,Hale County,3
1067,AL,Henry County,3
1069,AL,Houston County,3
1071,AL,Jackson County,6
1073,AL,Jefferson County,1
1075,AL,Lamar County,8
1077,AL,Lauderdale County,3
1079,AL,Lawrence County,3
1081,AL,Lee County,3
1083,AL,Limestone County,2
1085,AL,Lowndes County,2
1087,AL,Macon County,6
1089,AL,Madison County,2
1091,AL,Marengo County,7
1093,AL,Marion County,7
1095,AL,Marshall County,4
1097,AL,Mobile County,2
1099,AL,Monroe County,7
1101,AL,Montgomery County,2
1103,AL,Morgan County,3
1105,AL,Perry County,8
1107,AL,Pickens County,3
1109,AL,Pike County,6
1111,AL,Randolph County,6
1113,AL,Russell County,2
1115,AL,St. Clair County,1
1117,AL,Shelby County,1
1119,AL,Sumter County,8
1121,AL,Talladega County,4
1123,AL,Tallapoosa County,6
1125,AL,Tuscaloosa County,3
1127,AL,Walker County,1
1129,AL,Washington County,8
1131,AL,Wilcox County,9
1133,AL,Winston County,6
2013,AK,Aleutians East Borough,9
2016,AK,Aleutians West Census Area,9
2020,AK,Anchorage Municipality,2
2050,AK,Bethel Census Area,7
2060,AK,Bristol Bay Borough,9
2068,AK,Denali Borough,8
2070,AK,Dillingham Census Area,9
2090,AK,Fairbanks North Star Borough,3
2100,AK,Haines Borough,9
2105,AK,"Hoonah-Angoon Census Area, AK",9
2110,AK,Juneau City and Borough,5
2122,AK,Kenai Peninsula Borough,7
2130,AK,Ketchikan Gateway Borough,7
2150,AK,Kodiak Island Borough,7
2164,AK,Lake and Peninsula Borough,9
2170,AK,Matanuska-Susitna Borough,2
2180,AK,Nome Census Area,7
2185,AK,North Slope Borough,7
2188,AK,Northwest Arctic Borough,7
2195,AK,Petersburg Census area,9
2198,AK,Price of Wales Hyder Census Area,9
2220,AK,Sitka City and Borough,7
2230,AK,Skagway Municipality,9
2240,AK,Southeast Fairbanks Census Area,9
2261,AK,Valdez-Cordova Census Area,9
2270,AK,Wade Hampton Census Area,9
2275,AK,Wrangell City and Borough,9
2282,AK,Yakutat City and Borough,9
2290,AK,Yukon-Koyukuk Census Area,9
4001,AZ,Apache County,6
4003,AZ,Cochise County,3
4005,AZ,Coconino County,3
4007,AZ,Gila County,4
4009,AZ,Graham County,7
4011,AZ,Greenlee County,7
4012,AZ,La Paz County,6
4013,AZ,Maricopa County,1
4015,AZ,Mohave County,3
4017,AZ,Navajo County,4
4019,AZ,Pima County,2
4021,AZ,Pinal County,1
4023,AZ,Santa Cruz County,4
4025,AZ,Yavapai County,3
4027,AZ,Yuma County,3
5001,AR,Arkansas County,6
5003,AR,Ashley County,7
5005,AR,Baxter County,7
5007,AR,Benton County,2
5009,AR,Boone County,7
5011,AR,Bradley County,7
5013,AR,Calhoun County,9
5015,AR,Carroll County,6
5017,AR,Chicot County,7
5019,AR,Clark County,7
5021,AR,Clay County,7
5023,AR,Cleburne County,6
5025,AR,Cleveland County,3
5027,AR,Columbia County,7
5029,AR,Conway County,6
5031,AR,Craighead County,3
5033,AR,Crawford County,2
5035,AR,Crittenden County,1
5037,AR,Cross County,6
5039,AR,Dallas County,6
5041,AR,Desha County,6
5043,AR,Drew County,6
5045,AR,Faulkner County,2
5047,AR,Franklin County,6
5049,AR,Fulton County,9
5051,AR,Garland County,3
5053,AR,Grant County,2
5055,AR,Greene County,4
5057,AR,Hempstead County,6
5059,AR,Hot Spring County,6
5061,AR,Howard County,6
5063,AR,Independence County,7
5065,AR,Izard County,9
5067,AR,Jackson County,6
5069,AR,Jefferson County,3
5071,AR,Johnson County,7
5073,AR,Lafayette County,8
5075,AR,Lawrence County,6
5077,AR,Lee County,7
5079,AR,Lincoln County,3
5081,AR,Little River County,3
5083,AR,Logan County,6
5085,AR,Lonoke County,2
5087,AR,Madison County,2
5089,AR,Marion County,9
5091,AR,Miller County,3
5093,AR,Mississippi County,4
5095,AR,Monroe County,7
5097,AR,Montgomery County,8
5099,AR,Nevada County,7
5101,AR,Newton County,9
5103,AR,Ouachita County,7
5105,AR,Perry County,2
5107,AR,Phillips County,6
5109,AR,Pike County,9
5111,AR,Poinsett County,3
5113,AR,Polk County,7
5115,AR,Pope County,5
5117,AR,Prairie County,8
5119,AR,Pulaski County,2
5121,AR,Randolph County,7
5123,AR,St. Francis County,6
5125,AR,Saline County,2
5127,AR,Scott County,6
5129,AR,Searcy County,9
5131,AR,Sebastian County,2
5133,AR,Sevier County,6
5135,AR,Sharp County,7
5137,AR,Stone County,9
5139,AR,Union County,7
5141,AR,Van Buren County,8
5143,AR,Washington County,2
5145,AR,White County,4
5147,AR,Woodruff County,9
5149,AR,Yell County,6
6001,CA,Alameda County,1
6003,CA,Alpine County,8
6005,CA,Amador County,6
6007,CA,Butte County,3
6009,CA,Calaveras County,6
6011,CA,Colusa County,6
6013,CA,Contra Costa County,1
6015,CA,Del Norte County,7
6017,CA,El Dorado County,1
6019,CA,Fresno County,2
6021,CA,Glenn County,6
6023,CA,Humboldt County,5
6025,CA,Imperial County,3
6027,CA,Inyo County,7
6029,CA,Kern County,2
6031,CA,Kings County,3
6033,CA,Lake County,4
6035,CA,Lassen County,7
6037,CA,Los Angeles County,1
6039,CA,Madera County,3
6041,CA,Marin County,1
6043,CA,Mariposa County,8
6045,CA,Mendocino County,4
6047,CA,Merced County,2
6049,CA,Modoc County,6
6051,CA,Mono County,7
6053,CA,Monterey County,2
