"","item","group1","group2","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"X11","1","2006","Metropolitan",1,1107,78.163233965673,38.9605208165745,73.7,74.8710259301015,32.02416,1.5,304.1,302.6,1.34609757400852,4.11260106559335,1.17098395237112
"X12","2","2007","Metropolitan",1,1105,82.1766515837104,40.4311431299246,77.4,78.9708474576271,32.17242,0.5,306.5,306,1.27438005446104,3.74444310358637,1.21628368579746
"X13","3","2008","Metropolitan",1,1103,85.5448776065276,41.5524941710079,81,82.2627406568516,34.39632,1.4,321,319.6,1.20755390018982,3.32854597856323,1.25114988699939
"X14","4","2009","Metropolitan",1,1107,87.313369467028,42.7744465187292,82.5,83.9325817361894,35.73066,1,329.8,328.8,1.14461652430565,2.9283177163185,1.28561398552147
"X15","5","2010","Metropolitan",1,1104,89.7412137681159,43.6740792604804,84.4,86.4178733031674,37.21326,0,338.1,338.1,1.11247635228266,2.82856183644368,1.31443532237711
"X16","6","2011","Metropolitan",1,1102,89.8303085299456,43.1790868377375,85,86.4973922902494,36.99087,1.1,340.2,339.1,1.16290427118968,3.11905129621646,1.30071652044268
"X17","7","2012","Metropolitan",1,1102,91.3884754990926,42.7170093942496,86.75,88.0768707482993,36.47196,0.5,335.1,334.6,1.10678156774084,2.86177372003358,1.28679700966824
"X18","8","2013","Metropolitan",1,1106,87.8609403254973,40.5106992472869,83.3,84.9909706546275,34.39632,0.1,317.1,317,1.02999483681255,2.68678513003523,1.21812589635506
"X19","9","2014","Metropolitan",1,1140,82.9167543859649,39.801050122597,80.2,81.1791666666667,33.58089,0.3,291.1,290.8,0.75521648817135,2.13945069755226,1.17880536868769
"X110","10","2015","Metropolitan",1,1139,77.8173836698859,36.4913439889369,76,76.2963855421687,31.1346,0,249.9,249.9,0.693576208319698,1.82242305924985,1.08125467153788
"X111","11","2016","Metropolitan",1,1138,73.8749560632689,33.7467045363027,71.85,72.3358552631579,29.42961,0.1,235.4,235.3,0.67707959559045,1.6005917692849,1.00036902991396
"X112","12","2017","Metropolitan",1,1137,65.3832893579595,29.8339017283964,62.3,64.0116355653128,26.24202,0.1,216.1,216,0.670536238669096,1.51420197649148,0.88476884684529
"X113","13","2006","Rural",1,1647,82.0376442015786,45.8910387754553,75,77.6055344958302,38.25108,0.1,403.3,403.2,1.60227913890262,5.79541857365562,1.13078773363392
"X114","14","2007","Rural",1,1641,86.552224253504,48.8136574650031,79.3,81.7776085300838,41.21628,0.5,438.4,437.9,1.63400255006109,6.0657420409426,1.20500003289934
"X115","15","2008","Rural",1,1655,89.3079758308157,51.2881276743262,81.9,84.5378867924528,42.84714,0.5,474.7,474.2,1.59794056743819,6.04978461551843,1.26071768759604
"X116","16","2009","Rural",1,1643,91.7729762629337,52.2392431633206,83.5,86.7749049429658,44.32974,1.2,520.1,518.9,1.58967149847941,6.05959427757638,1.28877794273591
"X117","17","2010","Rural",1,1637,94.397800855223,52.8577841919621,86.7,89.6548436308162,45.36756,0,566.4,566.4,1.49984513212992,6.01125818355034,1.30642539471773
"X118","18","2011","Rural",1,1643,94.280523432745,53.5698993367655,87.2,89.5619011406844,46.7019,0.2,583.8,583.6,1.65416856478198,7.4395252154402,1.32160614279884
"X119","19","2012","Rural",1,1634,99.3385556915545,54.142636181281,92.4,94.7088685015291,46.7019,4.1,570.1,566,1.73579989136314,8.46589741163551,1.33940948932162
"X120","20","2013","Rural",1,1647,97.3092289010322,51.7588832234614,91.1,93.3933282789992,45.36756,0.2,578.1,577.9,1.66434671916015,9.03439333399927,1.27537558132122
"X121","21","2014","Rural",1,1820,87.2712087912088,54.3749728761632,83.7,84.5695741758242,48.85167,0,563.3,563.3,1.27995335557287,6.86467117082825,1.27456902332149
"X122","22","2015","Rural",1,1824,80.8347039473684,50.2218146924612,77.7,78.4984246575342,45.58995,0.1,504.9,504.8,1.1228531315952,5.48576664579715,1.17592597682111
"X123","23","2016","Rural",1,1824,77.8415021929825,46.4736987785465,74.45,75.686095890411,42.03171,0,470.3,470.3,1.11956228313036,5.28992796653021,1.0881651721927
"X124","24","2017","Rural",1,1818,69.6297579757976,41.1699191827117,66.5,67.7046016483517,37.065,0,396.1,396.1,1.03085945773035,4.34282324183187,0.965568468456683
