country,adult.literacy.pct.2011
Afghanistan,39
Albania,96.84529915
Angola,70.36242
Antigua and Barbuda,98.95
Argentina,97.85877
Armenia,99.56817
Bangladesh,57.73479
Bosnia and Herzegovina,98.00262
Botswana,85.09085
Brunei,95.447
Bulgaria,98.35244811
Cape Verde,84.93627
Central African Republic,56.613
Chad,35.39147
Colombia,93.58053364
Comoros,75.53978
Costa Rica,96.25802
Cote d'Ivoire,56.86751
Croatia,98.8807
Cuba,99.83425
Cyprus,98.67842555
Dominican Republic,90.10626788
Ecuador,91.58689849
Egypt,72.95671945
Equatorial Guinea,94.22589
Eritrea,68.93744
Estonia,99.79689
Gabon,88.98886
Gambia,51.10727
Georgia,99.73247
Greece,97.3018
Guatemala,75.85726
Guinea-Bissau,55.27518
Honduras,85.12331079
Hungary,99.04719
India,62.75447457
Indonesia,92.81190757
Iraq,78.48049
Italy,98.97965
Jamaica,87.04274
Jordan,95.90445298
Latvia,99.78424
Libya,89.5361
Lithuania,99.70355
"Macao, China",95.64004085
Macedonia,97.3752
Mali,33.44121231
Mauritania,58.61391
Mauritius,88.84715
Mexico,93.51998478
Moldova,98.97083
Mongolia,97.35589
Montenegro,98.45932
Morocco,67.08416203
Myanmar,92.67915
Nepal,57.36910244
Netherlands Antilles,96.54464
Papua New Guinea,62.42167
Poland,99.73019
Portugal,95.43412
Puerto Rico,90.34799
Romania,97.70193
Samoa,98.83078
Saudi Arabia,87.15616
Serbia,98.01291
Seychelles,91.83646335
Sierra Leone,43.2831
Slovenia,99.69498
South Africa,92.98314017
Sudan,71.93777
Swaziland,87.8443
Syria,84.05794
Tajikistan,99.70706
Togo,60.40994467
Trinidad and Tobago,98.83491
Turkey,94.1060912
Turkmenistan,99.60858
Ukraine,99.71874
Uzbekistan,99.43299
Vanuatu,83.22246
West Bank and Gaza,95.26724225
Vietnam,93.35947
Yemen,65.26195
Zimbabwe,83.58271445
