country,median.age.2005,median.age.2010,median.age.2015,median.age.proj.2020,median.age.proj.2025,median.age.proj.2030,median.age.proj.2035,median.age.proj.2040,median.age.proj.2045,median.age.proj.2050
Afghanistan,16.49,16.868,17.326,17.81,18.319,18.936,19.775,20.918,22.196,23.522
Albania,28.532,29.968,31.796,33.636,35.737,37.988,40.292,42.258,43.702,44.268
Algeria,24.015,26.247,28.311,30.333,32.3,34.187,35.547,36.877,38.145,39.416
Angola,16.718,17.385,17.989,18.658,19.51,20.435,21.623,22.891,24.197,25.561
Argentina,29.12,30.439,31.615,32.837,34.147,35.551,36.931,38.163,39.271,40.386
Armenia,31.142,32.011,33.234,34.935,37.211,39.485,41.288,42.025,42.297,42.99
Aruba,36.417,38.7,40.642,41.742,42.112,42.322,42.972,43.853,44.475,44.413
Australia,36.553,37.776,38.842,39.6,40.432,41.213,41.925,42.44,42.728,42.937
Austria,39.953,41.768,43.495,44.785,45.604,46.579,47.46,48.196,48.655,48.543
Azerbaijan,27.08,28.42,29.936,32.029,34.235,36.398,37.966,38.787,39.405,40.588
Bahamas,28.054,29.695,31.609,33.386,35.03,36.846,38.496,39.996,41.01,41.852
Bahrain,27.617,28.082,30,31.876,33.75,35.573,37.158,38.566,39.817,40.796
Bangladesh,22.544,24.504,26.502,28.447,30.372,32.343,34.295,36.167,37.769,39.152
Barbados,35.53,37.771,39.992,41.715,43.497,45.284,46.885,48.059,48.657,48.614
Belarus,37.339,38.223,39.362,40.769,42.607,44.628,46.659,48.16,48.799,48.548
Belgium,40.232,41.301,42.38,43.175,43.742,44.231,44.628,44.925,44.879,44.684
Belize,20.623,22.267,23.992,25.899,27.878,29.914,31.984,33.929,35.713,37.415
Benin,17.979,18.359,18.785,19.43,20.33,21.558,22.885,24.266,25.719,27.215
Bhutan,21.901,24.232,26.449,28.516,30.609,32.525,34.336,36.053,37.486,38.787
Bolivia,20.828,21.888,23.221,24.762,26.447,28.231,30.102,32.044,33.975,35.891
Bosnia and Herzegovina,37.332,39.291,41.049,42.767,44.53,46.495,48.466,50.378,51.389,52.196
Botswana,21.322,22.779,23.987,25.061,25.98,26.791,27.689,28.747,29.92,31.211
Brazil,26.979,29.009,31.325,33.603,35.832,37.936,39.907,41.936,43.807,45.565
Brunei,26.432,27.785,29.205,30.704,32.226,33.657,34.967,36.023,36.97,37.745
Bulgaria,40.758,41.731,42.881,44.307,45.986,47.557,48.97,50.206,50.405,49.506
Burkina Faso,16.907,16.69,16.812,17.317,18.309,19.609,20.966,22.316,23.685,25.098
Burundi,18.386,20.288,21.386,22.297,23.269,24.412,25.837,27.378,28.887,30.398
Cambodia,20.285,22.317,24.16,26.007,27.623,29.115,30.337,31.676,33.089,34.598
Cameroon,18.702,19.212,19.863,20.622,21.721,22.997,24.345,25.742,27.124,28.484
Canada,38.58,39.878,40.94,41.923,42.852,43.736,44.538,45.238,45.389,45.174
Cape Verde,19.272,21.261,23.27,25.275,27.416,29.61,31.82,33.95,35.883,37.808
Caribbean,28.033,29.578,31.147,32.553,33.876,35.155,36.514,37.839,39.064,40.169
Central African Republic,18.917,19.502,20.236,21.226,22.299,23.396,24.527,25.768,27.058,28.353
Chad,16.872,17.052,17.407,17.944,18.641,19.479,20.537,21.788,23.114,24.488
Channel Islands,40.05,42.152,44.206,45.838,46.925,47.569,48.111,48.719,49.117,49.322
Chile,30.558,32.057,33.553,35.176,37.002,38.775,40.482,41.714,42.56,43.143
China,32.062,34.21,35.584,37.091,38.908,41.077,42.832,44.118,44.862,45.159
Hong Kong,39.26,41.861,43.82,45.58,47.135,48.622,50.031,51.151,52.168,52.711
"Macao, China",36.272,38.315,41.235,43.81,46.064,48.347,50.522,52.723,54.627,55.779
Colombia,25.238,26.765,28.337,29.926,31.623,33.261,34.819,36.319,37.742,39.045
Comoros,20.378,21.081,21.754,22.7,23.912,25.314,26.939,28.494,30.033,31.487
Congo,18.943,19.462,20.647,21.846,23.008,24.292,25.668,27.08,28.488,29.899
Costa Rica,26.113,28.181,30.197,32.406,34.524,36.481,38.24,39.762,41.016,41.92
Cote d'Ivoire,19.081,19.479,20.194,21.159,22.309,23.565,24.879,26.334,27.806,29.29
Croatia,40.33,41.555,42.609,43.682,44.907,46.169,47.162,47.849,48.226,48.171
Cuba,35.488,38.3,40.989,43.022,44.528,45.889,47.664,49.451,50.846,51.881
Cyprus,35.321,36.491,37.717,38.998,40.379,41.74,43.035,44.086,44.48,44.409
Czech Republic,38.828,39.59,41.187,42.906,44.661,45.856,46.905,47.513,47.132,46.208
North Korea,32.253,33.958,34.616,35.838,36.996,38.375,39.963,41.169,41.784,41.897
Democratic Republic of the Congo,16.079,16.629,17.311,18.138,19.122,20.234,21.615,23.087,24.633,26.313
Denmark,39.537,40.802,41.968,42.743,42.763,42.431,42.595,43.027,43.397,43.639
Djibouti,20.077,21.499,22.953,24.356,25.6,26.849,28.096,29.33,30.574,31.845
Dominican Republic,23.781,25.013,26.469,28,29.573,31.127,32.731,34.343,35.973,37.534
Ecuador,23.98,25.448,27.07,28.712,30.433,32.307,34.16,35.951,37.615,39.124
Egypt,22.382,23.915,25.631,26.999,28.352,29.728,31.215,32.758,34.348,36
El Salvador,22.689,23.944,25.401,27.286,29.139,31.157,32.925,34.495,36.026,37.587
Equatorial Guinea,18.583,19.258,19.681,20.051,20.581,21.405,22.451,23.589,24.791,26.063
Eritrea,18.583,19.097,19.619,20.292,21.669,23.263,24.901,26.517,27.991,29.394
Estonia,38.978,39.581,40.113,40.713,41.767,43.212,44.709,44.677,43.485,42.981
Ethiopia,17.391,18.022,18.86,19.793,20.897,22.21,23.645,25.171,26.839,28.536
Fiji,23.651,24.997,26.259,27.685,29.176,30.817,32.453,34.111,35.778,37.474
Finland,40.89,41.984,42.609,43.043,43.644,44.208,44.594,45.045,44.997,44.811
France,38.868,40.112,41.313,42.142,42.855,43.563,44.046,44.214,44.381,44.759
French Guiana,23.307,24.03,25.046,26.545,27.947,29.322,30.79,32.161,33.456,34.689
French Polynesia,27.072,28.464,30.014,32.144,34.096,35.572,37.094,38.409,39.493,40.577
