year,isic_section_index,isic_section_name,industry_name,skill_group_category,skill_group_name,skill_group_rank
2015,M,Professional scientific and technical activities,Accounting,Business Skills,Financial Accounting,1
2015,M,Professional scientific and technical activities,Accounting,Business Skills,Auditing,2
2015,M,Professional scientific and technical activities,Accounting,Business Skills,Tax Accounting,3
2015,M,Professional scientific and technical activities,Accounting,Business Skills,Management Accounting,4
2015,M,Professional scientific and technical activities,Accounting,Tech Skills,Digital Literacy,5
2015,M,Professional scientific and technical activities,Accounting,Business Skills,Accounts Payable,6
2015,M,Professional scientific and technical activities,Accounting,Business Skills,Business Management,7
2015,M,Professional scientific and technical activities,Accounting,Business Skills,Bookkeeping,8
2015,M,Professional scientific and technical activities,Accounting,Soft Skills,Leadership,9
2015,M,Professional scientific and technical activities,Accounting,Business Skills,People Management,10
2015,R,"Arts, entertainment and recreation ",Animation,Tech Skills,Animation,1
2015,R,"Arts, entertainment and recreation ",Animation,Tech Skills,Graphic Design,2
2015,R,"Arts, entertainment and recreation ",Animation,Specialized Industry Skills,Video,3
2015,R,"Arts, entertainment and recreation ",Animation,Tech Skills,Digital Literacy,4
2015,R,"Arts, entertainment and recreation ",Animation,Tech Skills,Social Media,5
2015,R,"Arts, entertainment and recreation ",Animation,Specialized Industry Skills,Photography,6
2015,R,"Arts, entertainment and recreation ",Animation,Specialized Industry Skills,Television,7
2015,R,"Arts, entertainment and recreation ",Animation,Specialized Industry Skills,Event Planning,8
2015,R,"Arts, entertainment and recreation ",Animation,Specialized Industry Skills,Foreign Languages,9
2015,R,"Arts, entertainment and recreation ",Animation,Business Skills,Project Management,10
2015,M,Professional scientific and technical activities,Architecture & Planning,Specialized Industry Skills,Architecture,1
2015,M,Professional scientific and technical activities,Architecture & Planning,Specialized Industry Skills,Interior Design,2
2015,M,Professional scientific and technical activities,Architecture & Planning,Specialized Industry Skills,Urban Planning,3
2015,M,Professional scientific and technical activities,Architecture & Planning,Tech Skills,Graphic Design,4
2015,M,Professional scientific and technical activities,Architecture & Planning,Business Skills,Project Management,5
2015,M,Professional scientific and technical activities,Architecture & Planning,Tech Skills,Animation,6
2015,M,Professional scientific and technical activities,Architecture & Planning,Specialized Industry Skills,Construction Engineering,7
2015,M,Professional scientific and technical activities,Architecture & Planning,Tech Skills,Digital Literacy,8
2015,M,Professional scientific and technical activities,Architecture & Planning,Specialized Industry Skills,Industrial Design,9
2015,M,Professional scientific and technical activities,Architecture & Planning,Specialized Industry Skills,Environmental Consulting,10
2015,R,"Arts, entertainment and recreation ",Arts & Crafts,Specialized Industry Skills,Painting,1
2015,R,"Arts, entertainment and recreation ",Arts & Crafts,Specialized Industry Skills,Sculpture,2
2015,R,"Arts, entertainment and recreation ",Arts & Crafts,Specialized Industry Skills,Art History,3
2015,R,"Arts, entertainment and recreation ",Arts & Crafts,Tech Skills,Graphic Design,4
2015,R,"Arts, entertainment and recreation ",Arts & Crafts,Specialized Industry Skills,Photography,5
