year,skill_group_category,skill_group_name,isic_section_index,isic_section_name,industry_name,skill_group_penetration_rate
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Accounting,0.658%
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Executive Office,0.213%
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Law Practice,0.203%
2015,Business Skills,Accounts Payable,B,Mining and quarrying,Oil & Energy,0.136%
2015,Business Skills,Accounts Payable,C,Manufacturing,Printing,0.123%
2015,Business Skills,Accounts Payable,C,Manufacturing,Packaging & Containers,0.122%
2015,Business Skills,Accounts Payable,C,Manufacturing,Machinery,0.105%
2015,Business Skills,Accounts Payable,B,Mining and quarrying,Mining & Metals,0.082%
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Environmental Services,0.079%
2015,Business Skills,Accounts Payable,C,Manufacturing,Textiles,0.078%
2015,Business Skills,Accounts Payable,C,Manufacturing,Electrical & Electronic Manufacturing,0.074%
2015,Business Skills,Accounts Payable,C,Manufacturing,Food Production,0.073%
2015,Business Skills,Accounts Payable,C,Manufacturing,Automotive,0.072%
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Mechanical Or Industrial Engineering,0.072%
2015,Business Skills,Accounts Payable,C,Manufacturing,Industrial Automation,0.069%
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Legal Services,0.069%
2015,Business Skills,Accounts Payable,C,Manufacturing,Chemicals,0.068%
2015,Business Skills,Accounts Payable,J,Information and communication,Information Technology & Services,0.062%
2015,Business Skills,Accounts Payable,C,Manufacturing,Paper & Forest Products,0.060%
2015,Business Skills,Accounts Payable,C,Manufacturing,Plastics,0.060%
2015,Business Skills,Accounts Payable,J,Information and communication,Telecommunications,0.057%
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Architecture & Planning,0.049%
2015,Business Skills,Accounts Payable,J,Information and communication,Computer Software,0.048%
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Marketing & Advertising,0.048%
2015,Business Skills,Accounts Payable,K,Financial and insurance activities,Financial Services,0.047%
2015,Business Skills,Accounts Payable,R,"Arts, entertainment and recreation ","Health, Wellness & Fitness",0.046%
2015,Business Skills,Accounts Payable,K,Financial and insurance activities,Insurance,0.043%
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Events Services,0.041%
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Outsourcing/Offshoring,0.041%
2015,Business Skills,Accounts Payable,C,Manufacturing,Aviation & Aerospace,0.040%
2015,Business Skills,Accounts Payable,C,Manufacturing,Renewables & Environment,0.034%
2015,Business Skills,Accounts Payable,J,Information and communication,Computer Hardware,0.033%
2015,Business Skills,Accounts Payable,K,Financial and insurance activities,Venture Capital & Private Equity,0.033%
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Design,0.032%
2015,Business Skills,Accounts Payable,C,Manufacturing,Pharmaceuticals,0.032%
2015,Business Skills,Accounts Payable,R,"Arts, entertainment and recreation ",Entertainment,0.030%
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Biotechnology,0.029%
2015,Business Skills,Accounts Payable,K,Financial and insurance activities,Investment Management,0.029%
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Management Consulting,0.028%
2015,Business Skills,Accounts Payable,K,Financial and insurance activities,Banking,0.026%
2015,Business Skills,Accounts Payable,J,Information and communication,Internet,0.022%
2015,Business Skills,Accounts Payable,J,Information and communication,Publishing,0.022%
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Professional Training & Coaching,0.014%
2015,Soft Skills,Active Learning,M,Professional scientific and technical activities,Professional Training & Coaching,0.143%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Executive Office,1.034%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Veterinary,0.608%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Legal Services,0.394%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Law Practice,0.344%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Accounting,0.241%
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ","Health, Wellness & Fitness",0.237%
2015,Business Skills,Administrative Assistance,K,Financial and insurance activities,Venture Capital & Private Equity,0.233%
2015,Business Skills,Administrative Assistance,K,Financial and insurance activities,Investment Management,0.211%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Outsourcing/Offshoring,0.174%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Architecture & Planning,0.136%
2015,Business Skills,Administrative Assistance,K,Financial and insurance activities,Insurance,0.135%
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ",Gambling & Casinos,0.121%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Environmental Services,0.120%
2015,Business Skills,Administrative Assistance,C,Manufacturing,Automotive,0.109%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Events Services,0.105%
2015,Business Skills,Administrative Assistance,K,Financial and insurance activities,Financial Services,0.102%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Management Consulting,0.097%
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ",Museums & Institutions,0.093%
2015,Business Skills,Administrative Assistance,B,Mining and quarrying,Oil & Energy,0.092%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Market Research,0.086%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Mechanical Or Industrial Engineering,0.086%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Professional Training & Coaching,0.086%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Research,0.085%
2015,Business Skills,Administrative Assistance,C,Manufacturing,Machinery,0.084%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Biotechnology,0.083%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Public Relations & Communications,0.080%
2015,Business Skills,Administrative Assistance,J,Information and communication,Internet,0.078%
2015,Business Skills,Administrative Assistance,C,Manufacturing,Electrical & Electronic Manufacturing,0.077%
2015,Business Skills,Administrative Assistance,C,Manufacturing,Food Production,0.076%
2015,Business Skills,Administrative Assistance,C,Manufacturing,Printing,0.076%
2015,Business Skills,Administrative Assistance,C,Manufacturing,Pharmaceuticals,0.075%
2015,Business Skills,Administrative Assistance,C,Manufacturing,Chemicals,0.074%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Design,0.072%
2015,Business Skills,Administrative Assistance,J,Information and communication,Publishing,0.067%
2015,Business Skills,Administrative Assistance,J,Information and communication,Information Technology & Services,0.066%
2015,Business Skills,Administrative Assistance,B,Mining and quarrying,Mining & Metals,0.066%
2015,Business Skills,Administrative Assistance,J,Information and communication,Computer Networking,0.063%
2015,Business Skills,Administrative Assistance,J,Information and communication,Telecommunications,0.060%
2015,Business Skills,Administrative Assistance,C,Manufacturing,Renewables & Environment,0.058%
2015,Business Skills,Administrative Assistance,C,Manufacturing,Packaging & Containers,0.057%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Marketing & Advertising,0.056%
2015,Business Skills,Administrative Assistance,C,Manufacturing,Textiles,0.054%
2015,Business Skills,Administrative Assistance,J,Information and communication,Computer Software,0.053%
2015,Business Skills,Administrative Assistance,J,Information and communication,Writing & Editing,0.051%
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ",Arts & Crafts,0.050%
2015,Business Skills,Administrative Assistance,K,Financial and insurance activities,Banking,0.050%
2015,Business Skills,Administrative Assistance,C,Manufacturing,Plastics,0.050%
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ",Sports,0.049%
2015,Business Skills,Administrative Assistance,J,Information and communication,Online Media,0.048%
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ",Entertainment,0.047%
2015,Business Skills,Administrative Assistance,J,Information and communication,Computer Hardware,0.044%
2015,Business Skills,Administrative Assistance,C,Manufacturing,Industrial Automation,0.044%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Information Services,0.039%
2015,Business Skills,Administrative Assistance,C,Manufacturing,Aviation & Aerospace,0.036%
2015,Business Skills,Administrative Assistance,J,Information and communication,Media Production,0.033%
2015,Business Skills,Administrative Assistance,J,Information and communication,Broadcast Media,0.031%
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ",Performing Arts,0.023%
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ",Music,0.015%
2015,Business Skills,Administrative Assistance,J,Information and communication,Computer & Network Security,0.011%
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Graphic Design,0.011%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Marketing & Advertising,4.265%
2015,Business Skills,Advertising,J,Information and communication,Newspapers,2.562%
2015,Business Skills,Advertising,J,Information and communication,Online Media,2.548%
2015,Business Skills,Advertising,J,Information and communication,Publishing,2.419%
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Sports,2.122%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Graphic Design,2.038%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Public Relations & Communications,1.874%
2015,Business Skills,Advertising,C,Manufacturing,Printing,1.871%
2015,Business Skills,Advertising,J,Information and communication,Broadcast Media,1.819%
2015,Business Skills,Advertising,J,Information and communication,Internet,1.662%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Photography,1.610%
2015,Business Skills,Advertising,J,Information and communication,Media Production,1.529%
2015,Business Skills,Advertising,J,Information and communication,Writing & Editing,1.463%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Events Services,1.169%
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Entertainment,0.968%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Design,0.817%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Market Research,0.618%
2015,Business Skills,Advertising,J,Information and communication,Motion Pictures & Film,0.601%
2015,Business Skills,Advertising,J,Information and communication,Computer Games,0.419%
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Music,0.385%
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Gambling & Casinos,0.364%
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Arts & Crafts,0.323%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Information Services,0.245%
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Fine Art,0.227%
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Museums & Institutions,0.187%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Professional Training & Coaching,0.176%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Management Consulting,0.173%
2015,Business Skills,Advertising,J,Information and communication,Information Technology & Services,0.165%
2015,Business Skills,Advertising,J,Information and communication,Computer Software,0.163%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Translation & Localization,0.152%
2015,Business Skills,Advertising,C,Manufacturing,Automotive,0.143%
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ","Health, Wellness & Fitness",0.139%
2015,Business Skills,Advertising,J,Information and communication,Telecommunications,0.138%
2015,Business Skills,Advertising,C,Manufacturing,Textiles,0.117%
2015,Business Skills,Advertising,K,Financial and insurance activities,Financial Services,0.116%
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Performing Arts,0.114%
2015,Business Skills,Advertising,C,Manufacturing,Food Production,0.099%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Architecture & Planning,0.093%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Legal Services,0.088%
2015,Business Skills,Advertising,K,Financial and insurance activities,Investment Management,0.087%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Outsourcing/Offshoring,0.087%
2015,Business Skills,Advertising,K,Financial and insurance activities,Banking,0.081%
2015,Business Skills,Advertising,K,Financial and insurance activities,Insurance,0.081%
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Animation,0.076%
2015,Business Skills,Advertising,C,Manufacturing,Pharmaceuticals,0.051%
2015,Business Skills,Advertising,C,Manufacturing,Chemicals,0.050%
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Accounting,0.049%
