country_code,country_name,wb_income,wb_region,isic_section_index,isic_section_name,industry_name,net_per_10K_2015,net_per_10K_2016,net_per_10K_2017,net_per_10K_2018,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,C,Manufacturing,Defense & Space,425.85,158.29,79.59,171.66,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,J,Information and communication,Computer Hardware,108.23,368.7,167.25,113.82,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,J,Information and communication,Computer Software,1083.56,884.25,560.81,455.86,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,J,Information and communication,Computer Networking,496.92,433.76,96.56,239.65,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,J,Information and communication,Internet,2017.52,1383.74,794.39,659.77,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,J,Information and communication,Semiconductors,448.4,746.75,-285.56,148.29,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,J,Information and communication,Telecommunications,672.53,696.57,401.12,309.69,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,M,Professional scientific and technical activities,Law Practice,786.32,501.92,383.88,310.56,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,M,Professional scientific and technical activities,Legal Services,743.06,703.01,504.49,458.16,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,M,Professional scientific and technical activities,Management Consulting,1121.73,693.28,581.3,575.7,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,M,Professional scientific and technical activities,Biotechnology,1571.45,973.73,547.6,250.92,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,Q,Human health and social work activities,Medical Practice,739.31,512.59,444.44,276.84,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,Q,Human health and social work activities,Hospital & Health Care,796.27,669.86,462.6,343.92,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,C,Manufacturing,Pharmaceuticals,924.23,725.67,473.19,464.96,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,Q,Human health and social work activities,Medical Device,915.9,1041.88,487.21,243.85,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Cosmetics,947.48,739.64,451.04,220.64,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Apparel & Fashion,945.02,804.47,633.73,111.13,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sporting Goods,829.72,507.97,152.38,11.71,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Tobacco,1386.21,1048.11,834.99,225.74,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Supermarkets,411.19,412.41,270.94,143.07,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,C,Manufacturing,Food Production,885.33,406.87,294.32,129.55,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Consumer Electronics,663.6,393.45,245.13,174.59,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Consumer Goods,714.53,573.87,404.76,240.95,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Furniture,630.55,646.85,301.59,103.54,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail,567.64,417.29,282.74,145.51,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,R,"Arts, entertainment and recreation ",Entertainment,725.77,654.35,327.06,49.89,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,N,Administrative and support service activities,"Leisure, Travel & Tourism",793.25,533.74,322.26,135.19,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,I,Accommodation and food service activities,Hospitality,540.79,388.49,235.55,195.54,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,I,Accommodation and food service activities,Restaurants,677.35,566.1,202.79,153.32,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,R,"Arts, entertainment and recreation ",Sports,904.34,649.28,171.35,274.31,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Food & Beverages,763.12,594.85,272.51,189.95,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,J,Information and communication,Motion Pictures & Film,736.2,288.08,245.25,-217.74,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,J,Information and communication,Broadcast Media,422.31,450.34,226.13,117.38,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,K,Financial and insurance activities,Banking,664.17,350.7,183.08,198.33,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,K,Financial and insurance activities,Insurance,689.4,598.02,384.16,211.43,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,K,Financial and insurance activities,Financial Services,814.91,610.62,397.02,306.02,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,L,Real estate activities,Real Estate,673.12,531.92,392.97,209.02,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,K,Financial and insurance activities,Investment Banking,715.53,300.33,481.43,86.72,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,K,Financial and insurance activities,Investment Management,540.77,406.21,142.35,196.95,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,M,Professional scientific and technical activities,Accounting,1132.4,1015.67,824.97,951.07,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,F,Construction,Construction,487.32,421.59,373.04,292.74,,,,,,,,,,,,,,,,,,,
ae,United Arab Emirates,High income,Middle East & North Africa,F,Construction,Building Materials,549.58,510.65,308.19,181.83,,,,,,,,,,,,,,,,,,,
