country_code,country_name,wb_income,wb_region,skill_group_category,skill_group_name,net_per_10K_2015,net_per_10K_2016,net_per_10K_2017,net_per_10K_2018,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Physical Security,-6015.99,-4128.4,-2594.15,-2304.27,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Public Safety,-4789.61,-2868.6,-2210.77,-1917.52,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Tech Skills,Computer Networking,-4724.3,-2725.53,-3973.61,-1686.29,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Delivery Operations,-3164.92,-1891.85,-1289.91,-1673.86,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Army,-5423.62,-2925.31,-2311.54,-1570.09,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Air Force,-5754.7,-2833.44,-2249.2,-1489.44,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Nonprofit Management,-1242.03,-1705.95,-1600.58,-1346.22,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Politics,-1375.55,-1359.61,-1607.97,-1335.7,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Construction Engineering,-3286.46,-2475.74,-2297.12,-1255.01,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Disruptive Tech Skills,Human Computer Interaction,-1931.24,-1192.98,-439.36,-1120.66,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Disruptive Tech Skills,Cyber-security,-2638.36,-1582.14,-1774.47,-1095.12,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Public Policy,-1748.22,-1273.11,-1373.69,-1086.25,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Procurement,-2404.57,-1756.02,-1579.68,-1063.64,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Telecommunications,-2881.51,-2443.77,-1875.94,-1045.38,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Inventory Management,-3365.07,-2121.17,-1498.39,-1012.17,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,National Security,-3142.9,-1567.19,-1286.22,-995.29,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,International Law,-792.73,-906.73,-1160.96,-977.62,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Airlines,-4914.54,-2033.9,-1592.68,-965.39,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Auditing,-1291.78,-1664.18,-1128.41,-947.78,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Soft Skills,Flexible Approach,-1109.26,-849.64,-901.41,-907.1,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Documentation,-1342.7,-1024.57,-1170.09,-864.25,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Growth Strategies,-1425.89,269.36,-1226.47,-838.18,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Urban Planning,-1740.76,-676.18,-599.36,-822.76,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Analytical Reasoning,-2047.39,-1064.77,-572.34,-821.36,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Navy,-2245.74,-1242.62,-1037.75,-816.88,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Structural Engineering,-958.42,-608.52,-669.87,-810.65,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Specialized Industry Skills,Product Testing,-1524.01,-1251.34,-1345.21,-799.92,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Tech Skills,Software Development Life Cycle (SDLC),-2291.87,-1089.72,-892.79,-775.69,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Tech Skills,Technical Support,-1800.67,-1256.01,-1699.86,-739.47,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Business Skills,Project Management,-1633.39,-1269.8,-1259.88,-675.53,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Tech Skills,Information Management,-1275.69,-1360.8,-788.04,-668.75,,,,,,,,,,,,,,,,,,,
af,Afghanistan,Low income,South Asia,Tech Skills,Data Storage Technologies,-1547.77,-1446.07,-1452.94,-663.07,,,,,,,,,,,,,,,,,,,
