county,state,FIPS,pop_total_2018,pop_lt_18_2018,pop_18_to_64_2018,pop_gt_65_2018,pop_median_2018,pop_pct_change_2016_17,pop_pct_change_2010_11,pct_gt_high_school,pct_gt_bachelors,pct_public_ins_lt_65,pct_public_ins_lt_19,pct_public_ins_19_to_64,unemployment_pct,pct_married_15_over,pct_2_plus_races,pct_white,pct_black,pct_am_ind_AK_native,pct_asian,pct_HA_pacific_islander,pct_hispanic,med_hh_income,pct_govt_cash_asst,pct_food_stamps,pct_lt_poverty,pct_private_ins_lt_65,pct_private_ins_lt_19,pct_private_ins_19_to_64
Autauga,Alabama,1001,55601,13163,33785,8653,39.1,0.36385359,1.167286654,87.7,25,21.6992704,38.047138,14.464003,3.9,56.1,1.7,76.6,19.1,0.3,0.9,0.1,2.7,72110,1.3,12.9,10.9,0.724492651,0.609638047,0.775325199
Baldwin,Alabama,1003,218022,47110,126341,44571,43.3,2.362405639,2.345485968,90.2,30.7,20.3072898,35.7772994,13.9588259,4.1,52.4,1.6,86.5,9.5,0.8,0.7,0,4.4,73061,1.7,8.1,8.2,0.709566883,0.648558524,0.734603026
Barbour,Alabama,1005,24881,5192,14857,4832,40.9,-2.560130137,-0.389700259,73.1,12,37.7919544,64.4693701,26.0552688,5.8,41.7,0.8,46.6,48,0.2,0.6,0,4.2,45445,2.6,26.5,20.5,0.53329467,0.3594478,0.609778318
Bibb,Alabama,1007,22400,4587,14123,3690,40,-0.093019135,-0.733144229,82.1,13.2,27.29322,45.1482752,20.1231367,4.4,48.2,0.8,76.7,22.1,0.4,0,0,2.4,61099,6.2,12.8,11.9,0.704063349,0.625781723,0.735499028
Blount,Alabama,1009,57840,13392,33900,10548,40.9,0.538971087,0.404731168,79.8,13.1,22.4097604,37.991573,15.7298973,4,58.5,1.7,95.5,1.6,0.4,0.1,0,9,58974,1.2,10.7,11.1,0.691805213,0.613061798,0.725562212
Bullock,Alabama,1011,10138,2137,6340,1661,39.2,-1.974761584,-2.171522815,71.4,13.4,39.0606836,77.5929978,25.1226848,4.9,30.2,0.7,21.9,75.6,1,0.7,0,0.3,42317,4.6,24.6,29.7,0.473959544,0.227133479,0.563242045
Butler,Alabama,1013,19680,4378,11307,3995,41.7,-0.654051625,-0.329402778,81.1,16.1,31.3415385,52.7395811,22.5635685,5.5,40.8,1.5,52.4,44.9,0.1,1.1,0,0.3,47812,1.5,19.3,19.3,0.6064,0.519356886,0.64210709
Calhoun,Alabama,1015,114277,24695,69335,20247,40,-0.307777913,-0.653611308,83.2,17.9,29.2518076,51.2935635,20.4770207,5,48.4,2.3,74.6,20.5,0.4,1,0,3.6,58788,1.6,17.8,14.9,0.649282196,0.531299452,0.696250934
Chambers,Alabama,1017,33615,6992,20061,6562,42.7,-0.038494566,-0.540698524,80.9,13.3,29.7603851,56.3559322,19.650677,4.1,44.8,1,57.7,39.3,0.3,1,0,2.2,51434,1.1,16.4,14,0.598964222,0.418432203,0.66758947
Cherokee,Alabama,1019,26032,4990,15062,5980,46.9,0.151303538,0.019238909,79.5,12.5,30.5061357,50.8496254,22.9923067,4.1,58.8,1,93.1,5,0.5,0.2,0,1.6,54671,1.4,17.2,12.8,0.647134197,0.52822949,0.691051424
Chilton,Alabama,1021,44153,10491,26251,7411,39.6,0.50346273,0.100818001,81.8,15.1,25.7007061,48.3020918,16.0181557,4.1,53,1.7,83.3,9.6,0.6,0.4,0,7.7,59036,2.1,18.2,16,0.617599131,0.50203749,0.667106335
Choctaw,Alabama,1023,12841,2567,7321,2953,46.5,-0.873630163,-1.81831301,80.1,11.6,34.6938776,53.3496162,27.4919181,6.3,47.4,1,56.5,42.3,0,0.1,0,0.5,48466,0.4,25.7,17.4,0.577065112,0.501744592,0.606142241
Clarke,Alabama,1025,23920,5195,13972,4753,42.7,-1.034950101,-0.97162544,81.5,13,36.5294973,60.339159,26.8204911,8.5,46.3,0.4,53.2,45.7,0.1,0.5,0.1,0.2,50851,1,19.4,17.8,0.561124756,0.424467901,0.616850127
Clay,Alabama,1027,13275,2688,7836,2751,44.5,-0.194131263,-1.765719208,73.3,10.3,26.8570362,47.5097025,18.4811123,4.3,53.6,1,83.2,14.8,0.9,0,0,3.1,51364,2.7,14.9,15,0.621033968,0.510025873,0.666054565
Cleburne,Alabama,1029,14987,3412,8660,2915,42.5,0.35683027,-0.293881913,75.8,12.4,29.6992793,47.5706835,21.9743711,4.5,54.6,1.4,94.6,2.8,0.3,0.5,0,2.4,51607,1.8,15.6,12.2,0.593157154,0.524293165,0.622923588
Coffee,Alabama,1031,51909,12280,30828,8801,39.4,1.235702415,0.975014015,85.4,22.7,25.2490735,41.0434376,18.1998538,4.4,52.7,3.2,76.3,17.3,1.1,1.3,0,6.7,65863,0.8,13.3,13.1,0.684699427,0.584808547,0.72928196
Colbert,Alabama,1033,54762,11370,32478,10914,42.5,0.261187853,0.19658999,83.9,18.8,22.9840822,35.8409588,17.9539982,5.2,51.8,2,79.6,16,0.7,0.5,0,2.4,56372,1.3,12.5,12.9,0.720424476,0.66620779,0.741636041
Conecuh,Alabama,1035,12277,2550,6965,2762,45.2,-0.527957763,-0.272149985,79,8.8,30.9789717,52.885906,21.5979307,6.1,43.3,2,51.3,46.5,0.2,0,0,1.8,39554,2.2,17.6,21.9,0.542308079,0.436577181,0.587584423
Coosa,Alabama,1037,10715,1777,6457,2481,49,-0.637354517,-0.450645637,76.8,11,31.6905651,55.4587391,24.3856333,4.7,44.2,1.3,65.4,33.2,0.1,0,0,0.1,48059,0.8,14.1,8.6,0.653331727,0.515633009,0.695652174
Covington,Alabama,1039,36986,8089,21107,7790,43.6,-0.813225617,0.672580432,82,15.5,23.8138655,41.2980378,16.6428571,5.2,54,1.2,84.6,13.2,0.3,0.4,0,1.6,53372,0.8,14,13.2,0.657549049,0.554858934,0.699666667
Crenshaw,Alabama,1041,13824,3160,8035,2629,41.8,-0.438155437,-0.050337984,79.3,16.3,27.6676694,44.1589483,20.7291012,4.5,48.9,1.7,71.5,23.6,0.8,1.4,0,1.8,52395,1.9,18.4,13.5,0.653335693,0.576635793,0.685606537
