state,prescribing_rate,year,state_abbr,region,overdose.rate
Alabama,107.2,2017,AL,South,6.6
Alabama,121,2016,AL,South,5
Alabama,125,2015,AL,South,3.4
Alabama,135.2,2014,AL,South,3.3
Alabama,142.4,2013,AL,South,2.4
Alabama,143.8,2012,AL,South,2.3
Alabama,136.6,2011,AL,South,3
Alabama,134.3,2010,AL,South,3.3
Alabama,131.6,2009,AL,South,3.7
Alabama,126.1,2008,AL,South,3.6
Alabama,120.3,2007,AL,South,3.2
Alabama,115.6,2006,AL,South,2.2
Alaska,52,2017,AK,West,9.2
Alaska,58.9,2016,AK,West,6.7
Alaska,60.8,2015,AK,West,8.4
Alaska,62.7,2014,AK,West,6.7
Alaska,63.7,2013,AK,West,6.7
Alaska,66.8,2012,AK,West,7
Alaska,68,2011,AK,West,6.8
Alaska,68.4,2010,AK,West,8
Alaska,67.3,2009,AK,West,10
Alaska,68.5,2008,AK,West,10.3
Alaska,66.6,2007,AK,West,
Alaska,63.4,2006,AK,West,3.3
Arizona,61.2,2017,AZ,West,7.9
Arizona,70.2,2016,AZ,West,6.1
Arizona,75.5,2015,AZ,West,5.2
Arizona,79.7,2014,AZ,West,4.7
Arizona,80.4,2013,AZ,West,4.5
Arizona,85.3,2012,AZ,West,5.1
Arizona,88.6,2011,AZ,West,5
Arizona,88.5,2010,AZ,West,6.1
Arizona,84.2,2009,AZ,West,5.7
Arizona,80.9,2008,AZ,West,5
Arizona,77.8,2007,AZ,West,4.2
Arizona,74.3,2006,AZ,West,4.2
Arkansas,105.4,2017,AR,South,4.9
Arkansas,114.6,2016,AR,South,4.6
Arkansas,117.2,2015,AR,South,5.2
Arkansas,123.2,2014,AR,South,4.9
Arkansas,120.9,2013,AR,South,4.6
Arkansas,121.8,2012,AR,South,4.7
Arkansas,115.2,2011,AR,South,4.8
Arkansas,120.8,2010,AR,South,5.6
Arkansas,116,2009,AR,South,6.2
Arkansas,112.1,2008,AR,South,5.9
Arkansas,108.2,2007,AR,South,4.6
Arkansas,98.3,2006,AR,South,4.4
California,39.5,2017,CA,West,3.6
California,44.8,2016,CA,West,3.2
California,47.7,2015,CA,West,3.2
California,52.7,2014,CA,West,3.2
California,54.4,2013,CA,West,3.2
California,56.4,2012,CA,West,3
California,55.9,2011,CA,West,3.6
California,55.8,2010,CA,West,3.7
California,55.6,2009,CA,West,4
California,55.1,2008,CA,West,3.4
California,53.6,2007,CA,West,3.1
California,51,2006,CA,West,2.8
Colorado,52.9,2017,CO,West,5.6
Colorado,59.8,2016,CO,West,4.8
Colorado,65.1,2015,CO,West,5.1
Colorado,69.6,2014,CO,West,5.4
Colorado,71.2,2013,CO,West,4.7
Colorado,73.5,2012,CO,West,4.9
Colorado,73,2011,CO,West,5.4
Colorado,72,2010,CO,West,3.9
Colorado,69.8,2009,CO,West,5
Colorado,67.7,2008,CO,West,4.4
Colorado,65.9,2007,CO,West,4.9
Colorado,62.2,2006,CO,West,3.6
Connecticut,48,2017,CT,Northeast,22.7
Connecticut,55.9,2016,CT,Northeast,17.6
Connecticut,62.3,2015,CT,Northeast,10.7
Connecticut,66,2014,CT,Northeast,6.5
Connecticut,67.4,2013,CT,Northeast,5.6
Connecticut,69.3,2012,CT,Northeast,2
Connecticut,69.1,2011,CT,Northeast,2.2
Connecticut,68.6,2010,CT,Northeast,2.7
Connecticut,68.1,2009,CT,Northeast,2.4
Connecticut,68.7,2008,CT,Northeast,2.6
Connecticut,67.5,2007,CT,Northeast,2.8
Connecticut,64.7,2006,CT,Northeast,2.8
Delaware,68.3,2017,DE,South,22
Delaware,79.2,2016,DE,South,11.4
Delaware,84.4,2015,DE,South,7.8
Delaware,91,2014,DE,South,7.2
Delaware,92.7,2013,DE,South,6.3
Delaware,94,2012,DE,South,4.8
Delaware,99.7,2011,DE,South,8.3
Delaware,101.1,2010,DE,South,7.4
Delaware,97.5,2009,DE,South,6.5
Delaware,95.4,2008,DE,South,5
Delaware,92.3,2007,DE,South,3.4
Delaware,86.6,2006,DE,South,3.1
District of Columbia,28.5,2017,,,29.8
District of Columbia,32.5,2016,,,23.8
District of Columbia,35.7,2015,,,7.1
District of Columbia,40.1,2014,,,4.7
District of Columbia,41.1,2013,,,
District of Columbia,40.3,2012,,,
District of Columbia,39.8,2011,,,3.4
District of Columbia,37.1,2010,,,
District of Columbia,34.4,2009,,,
District of Columbia,34.5,2008,,,
District of Columbia,41.2,2007,,,
District of Columbia,31.7,2006,,,3.9
Florida,60.9,2017,FL,South,13.3
Florida,66.6,2016,FL,South,11.1
Florida,67.1,2015,FL,South,6.3
Florida,71.4,2014,FL,South,5
Florida,73.5,2013,FL,South,4.9
Florida,75.9,2012,FL,South,5.6
Florida,83.5,2011,FL,South,7.1
Florida,87.6,2010,FL,South,7.6
Florida,86.3,2009,FL,South,7
Florida,84.3,2008,FL,South,6.3
Florida,82.2,2007,FL,South,6.5
Florida,79.7,2006,FL,South,5.5
Georgia,70.9,2017,GA,South,7.9
Georgia,77.8,2016,GA,South,6.5
Georgia,79.4,2015,GA,South,6.4
Georgia,83.8,2014,GA,South,5.4
Georgia,86.6,2013,GA,South,4.1
Georgia,89.4,2012,GA,South,4.4
Georgia,88.6,2011,GA,South,4.7
Georgia,90.2,2010,GA,South,4.7
Georgia,88.2,2009,GA,South,4.4
Georgia,86.3,2008,GA,South,3.5
Georgia,82.5,2007,GA,South,3.6
Georgia,79.8,2006,GA,South,3.1
Hawaii,37,2017,HI,West,2.5
Hawaii,41.9,2016,HI,West,3.8
Hawaii,44.3,2015,HI,West,2.7
Hawaii,47.7,2014,HI,West,2.7
Hawaii,49.4,2013,HI,West,3.9
Hawaii,50.4,2012,HI,West,3.2
Hawaii,50.1,2011,HI,West,4.4
Hawaii,50.1,2010,HI,West,3.4
Hawaii,47.8,2009,HI,West,3.6
Hawaii,46.6,2008,HI,West,2.6
Hawaii,44.5,2007,HI,West,4.9
Hawaii,42.3,2006,HI,West,3.1
