"","gender","mean.yr.school"
"1","women",0.4
"2","women",9.4
"3","women",4.2
"4","women",2.8
"5","women",12.2
"6","women",10.1
"7","women",11.3
"8","women",11.5
"9","women",11
"10","women",11.3
"11","women",10.8
"12","women",7.8
"13","women",2.6
"14","women",11.7
"15","women",11.9
"16","women",8.3
"17","women",1.6
"18","women",6.7
"19","women",7.5
"20","women",6
"21","women",7.2
"22","women",12
"23","women",0.8
"24","women",2
"25","women",3.2
"26","women",4.2
"27","women",14.2
"28","women",3.5
"29","women",2.1
"30","women",0.7
"31","women",10.1
"32","women",6.4
"33","women",6.4
"34","women",2.3
"35","women",4
"36","women",5.3
"37","women",8.6
"38","women",2
"39","women",10.8
"40","women",10.2
"41","women",11.8
"42","women",13.3
"43","women",12.8
"44","women",1.8
"45","women",7.7
"46","women",8.1
"47","women",5.3
"48","women",6.5
"49","women",4.5
"50","women",2.1
"51","women",11.7
"52","women",1
"53","women",9.2
"54","women",12.3
"55","women",10.5
"56","women",5.7
"57","women",2
"58","women",12.5
"59","women",12
"60","women",5.2
"61","women",10.1
"62","women",3.9
"63","women",1
"64","women",1.1
"65","women",9.4
"66","women",3.4
"67","women",5.7
"68","women",11.1
"69","women",3.4
"70","women",6.1
"71","women",5.1
"72","women",3.7
"73","women",11.5
"74","women",12.5
"75","women",10.2
"76","women",10.3
"77","women",12.2
"78","women",8.6
"79","women",11.9
"80","women",5.9
"81","women",9.2
"82","women",11.9
"83","women",7
"84","women",11.4
"85","women",2.6
"86","women",12.9
"87","women",8.5
"88","women",8.4
"89","women",2.2
"90","women",12.5
"91","women",11
"92","women",9.6
"93","women",4.5
"94","women",3.3
"95","women",7.7
"96","women",3.4
"97","women",0.8
"98","women",8.9
"99","women",1.5
"100","women",8.1
"101","women",7.6
"102","women",11.2
"103","women",9.2
"104","women",10.6
"105","women",2.5
"106","women",1.7
"107","women",4.6
"108","women",6.9
"109","women",1.3
"110","women",11.4
"111","women",12.3
"112","women",5.8
"113","women",0.6
"114","women",4.1
"115","women",13.6
"116","women",5
"117","women",2.4
"118","women",9.7
"119","women",3.2
"120","women",7.2
"121","women",8.3
"122","women",9.2
"123","women",12.4
"124","women",7.7
"125","women",7.9
"126","women",11.5
"127","women",12.9
"128","women",2.8
"129","women",9.4
"130","women",12
"131","women",3.8
"132","women",5
"133","women",1.5
"134","women",10
"135","women",11.7
"136","women",1.5
"137","women",6.1
"138","women",12.1
"139","women",11.7
"140","women",5
"141","women",1
"142","women",8.5
"143","women",9
"144","women",9.4
"145","women",3.1
"146","women",7.1
"147","women",7.3
"148","women",12.8
"149","women",12.6
"150","women",5.1
"151","women",10.4
"152","women",4
"153","women",6.6
"154","women",2
"155","women",2.3
"156","women",11.5
"157","women",9.7
"158","women",5.8
"159","women",10.8
"160","women",3.7
"161","women",12.2
"162","women",8.3
"163","women",13
"164","women",13.7
"165","women",10
"166","women",11.3
"167","women",6.3
"168","women",8.9
"169","women",7.9
"170","women",6.9
"171","women",0.7
"172","women",5.2
"173","women",6.7
"174","women",10.9
"175","women",4.5
"176","men",2.6
"177","men",10.2
"178","men",4.7
"179","men",5.1
"180","men",11.8
"181","men",9.8
"182","men",11.3
"183","men",11.9
"184","men",11.8
"185","men",12.1
"186","men",10.5
"187","men",9.1
"188","men",4.7
"189","men",11.8
"190","men",12.1
"191","men",8.5
"192","men",3.7
"193","men",8.4
"194","men",9.4
"195","men",5.3
"196","men",6.8
"197","men",11.8
"198","men",1.7
"199","men",3.5
"200","men",5.4
"201","men",6.6
"202","men",14.2
"203","men",5
"204","men",4.6
"205","men",2.7
"206","men",10.2
"207","men",7.7
"208","men",6.6
"209","men",4.1
"210","men",7.6
"211","men",8.1
"212","men",8.4
"213","men",4.1
"214","men",11.1
"215","men",10.5
"216","men",12.3
"217","men",13.7
"218","men",12.8
"219","men",5.3
"220","men",7.5
"221","men",8.5
"222","men",7.9
"223","men",7.4
"224","men",7.7
"225","men",3.9
"226","men",11.1
"227","men",2.3
"228","men",9.5
"229","men",11.8
"230","men",10.5
"231","men",7.6
"232","men",3.9
"233","men",12.5
"234","men",12.4
"235","men",7.8
"236","men",10.7
"237","men",5
"238","men",3
"239","men",3.1
"240","men",9.3
"241","men",4.7
"242","men",5.9
"243","men",11.3
"244","men",6.2
"245","men",7.3
"246","men",7.3
"247","men",6.2
"248","men",11.2
"249","men",12.5
"250","men",10.6
"251","men",9.9
"252","men",12.2
"253","men",10.6
"254","men",11.9
"255","men",7.6
"256","men",8.9
"257","men",13.1
"258","men",7.5
"259","men",11.6
"260","men",4.5
"261","men",12
"262","men",8.8
"263","men",5.9
"264","men",5.9
"265","men",12.3
"266","men",11.6
"267","men",10.8
"268","men",5.4
"269","men",5.8
"270","men",8.3
"271","men",4.1
"272","men",2
"273","men",9.9
"274","men",3.1
"275","men",9.1
"276","men",8.3
"277","men",11.3
"278","men",9
"279","men",11.7
"280","men",4.7
"281","men",3.6
"282","men",5.1
"283","men",6.9
"284","men",4.2
"285","men",11.8
"286","men",12.5
"287","men",5.7
"288","men",1.5
"289","men",6.7
"290","men",13.6
"291","men",6.7
"292","men",5.4
"293","men",9.3
"294","men",4.9
"295","men",6.9
"296","men",9.7
"297","men",8.8
"298","men",12.4
"299","men",7.6
"300","men",7.8
"301","men",12.2
"302","men",12.7
"303","men",4.1
"304","men",8.9
"305","men",9.9
"306","men",5.9
"307","men",8.5
"308","men",3.3
"309","men",10.8
"310","men",10
"311","men",3.2
"312","men",8.1
"313","men",12.8
"314","men",12
"315","men",6.2
"316","men",2.8
"317","men",8.5
"318","men",9
"319","men",9.2
"320","men",5.6
"321","men",7.7
"322","men",7.3
"323","men",12.4
"324","men",13.5
"325","men",7.4
"326","men",11.6
"327","men",5.7
"328","men",7.1
"329","men",3.1
"330","men",5.2
"331","men",11.3
"332","men",9.6
"333","men",8.2
"334","men",11.5
"335","men",6.1
"336","men",12.1
"337","men",9.5
"338","men",13
"339","men",13.7
"340","men",9.5
"341","men",11.9
"342","men",6.9
"343","men",8.6
"344","men",9.9
"345","men",8.1
"346","men",3.6
"347","men",7.5
"348","men",8.3
"349","men",11.8
"350","men",8.1
