"","state","prescribing.rate","year","state.abbr","region","overdose.rate"
"1","Alabama",107.2,2017,"AL","South",6.6
"2","Alabama",121,2016,"AL","South",5
"3","Alabama",125,2015,"AL","South",3.4
"4","Alabama",135.2,2014,"AL","South",3.3
"5","Alabama",142.4,2013,"AL","South",2.4
"6","Alabama",143.8,2012,"AL","South",2.3
"7","Alabama",136.6,2011,"AL","South",3
"8","Alabama",134.3,2010,"AL","South",3.3
"9","Alabama",131.6,2009,"AL","South",3.7
"10","Alabama",126.1,2008,"AL","South",3.6
"11","Alabama",120.3,2007,"AL","South",3.2
"12","Alabama",115.6,2006,"AL","South",2.2
"13","Alaska",52,2017,"AK","West",9.2
"14","Alaska",58.9,2016,"AK","West",6.7
"15","Alaska",60.8,2015,"AK","West",8.4
"16","Alaska",62.7,2014,"AK","West",6.7
"17","Alaska",63.7,2013,"AK","West",6.7
"18","Alaska",66.8,2012,"AK","West",7
"19","Alaska",68,2011,"AK","West",6.8
"20","Alaska",68.4,2010,"AK","West",8
"21","Alaska",67.3,2009,"AK","West",10
"22","Alaska",68.5,2008,"AK","West",10.3
"23","Alaska",66.6,2007,"AK","West",NA
"24","Alaska",63.4,2006,"AK","West",3.3
"25","Arizona",61.2,2017,"AZ","West",7.9
"26","Arizona",70.2,2016,"AZ","West",6.1
"27","Arizona",75.5,2015,"AZ","West",5.2
"28","Arizona",79.7,2014,"AZ","West",4.7
"29","Arizona",80.4,2013,"AZ","West",4.5
"30","Arizona",85.3,2012,"AZ","West",5.1
"31","Arizona",88.6,2011,"AZ","West",5
"32","Arizona",88.5,2010,"AZ","West",6.1
"33","Arizona",84.2,2009,"AZ","West",5.7
"34","Arizona",80.9,2008,"AZ","West",5
"35","Arizona",77.8,2007,"AZ","West",4.2
"36","Arizona",74.3,2006,"AZ","West",4.2
"37","Arkansas",105.4,2017,"AR","South",4.9
"38","Arkansas",114.6,2016,"AR","South",4.6
"39","Arkansas",117.2,2015,"AR","South",5.2
"40","Arkansas",123.2,2014,"AR","South",4.9
"41","Arkansas",120.9,2013,"AR","South",4.6
"42","Arkansas",121.8,2012,"AR","South",4.7
"43","Arkansas",115.2,2011,"AR","South",4.8
"44","Arkansas",120.8,2010,"AR","South",5.6
"45","Arkansas",116,2009,"AR","South",6.2
"46","Arkansas",112.1,2008,"AR","South",5.9
"47","Arkansas",108.2,2007,"AR","South",4.6
"48","Arkansas",98.3,2006,"AR","South",4.4
"49","California",39.5,2017,"CA","West",3.6
"50","California",44.8,2016,"CA","West",3.2
"51","California",47.7,2015,"CA","West",3.2
"52","California",52.7,2014,"CA","West",3.2
"53","California",54.4,2013,"CA","West",3.2
"54","California",56.4,2012,"CA","West",3
"55","California",55.9,2011,"CA","West",3.6
"56","California",55.8,2010,"CA","West",3.7
"57","California",55.6,2009,"CA","West",4
"58","California",55.1,2008,"CA","West",3.4
"59","California",53.6,2007,"CA","West",3.1
"60","California",51,2006,"CA","West",2.8
"61","Colorado",52.9,2017,"CO","West",5.6
"62","Colorado",59.8,2016,"CO","West",4.8
"63","Colorado",65.1,2015,"CO","West",5.1
"64","Colorado",69.6,2014,"CO","West",5.4
"65","Colorado",71.2,2013,"CO","West",4.7
"66","Colorado",73.5,2012,"CO","West",4.9
"67","Colorado",73,2011,"CO","West",5.4
"68","Colorado",72,2010,"CO","West",3.9
"69","Colorado",69.8,2009,"CO","West",5
"70","Colorado",67.7,2008,"CO","West",4.4
"71","Colorado",65.9,2007,"CO","West",4.9
"72","Colorado",62.2,2006,"CO","West",3.6
"73","Connecticut",48,2017,"CT","Northeast",22.7
"74","Connecticut",55.9,2016,"CT","Northeast",17.6
"75","Connecticut",62.3,2015,"CT","Northeast",10.7
"76","Connecticut",66,2014,"CT","Northeast",6.5
"77","Connecticut",67.4,2013,"CT","Northeast",5.6
"78","Connecticut",69.3,2012,"CT","Northeast",2
"79","Connecticut",69.1,2011,"CT","Northeast",2.2
"80","Connecticut",68.6,2010,"CT","Northeast",2.7
"81","Connecticut",68.1,2009,"CT","Northeast",2.4
"82","Connecticut",68.7,2008,"CT","Northeast",2.6
"83","Connecticut",67.5,2007,"CT","Northeast",2.8
"84","Connecticut",64.7,2006,"CT","Northeast",2.8
"85","Delaware",68.3,2017,"DE","South",22
"86","Delaware",79.2,2016,"DE","South",11.4
"87","Delaware",84.4,2015,"DE","South",7.8
"88","Delaware",91,2014,"DE","South",7.2
"89","Delaware",92.7,2013,"DE","South",6.3
"90","Delaware",94,2012,"DE","South",4.8
"91","Delaware",99.7,2011,"DE","South",8.3
"92","Delaware",101.1,2010,"DE","South",7.4
"93","Delaware",97.5,2009,"DE","South",6.5
"94","Delaware",95.4,2008,"DE","South",5
"95","Delaware",92.3,2007,"DE","South",3.4
"96","Delaware",86.6,2006,"DE","South",3.1
"97","District of Columbia",28.5,2017,NA,NA,29.8
"98","District of Columbia",32.5,2016,NA,NA,23.8
"99","District of Columbia",35.7,2015,NA,NA,7.1
