"","state","state.abbr","county","FIPS","medicaid.expand","rural.metro","pct.lt.poverty","pct.public.ins.lt.65","pct.public.ins.lt.19","pct.public.ins.19.to.64"
"1","Alabama","AL","Autauga",1001,"Did Not Expand Medicaid","Metropolitan",10.9,21.6992704,38.047138,14.464003
"2","Alabama","AL","Baldwin",1003,"Did Not Expand Medicaid","Metropolitan",8.2,20.3072898,35.7772994,13.9588259
"3","Alabama","AL","Barbour",1005,"Did Not Expand Medicaid","Rural",20.5,37.7919544,64.4693701,26.0552688
"4","Alabama","AL","Bibb",1007,"Did Not Expand Medicaid","Metropolitan",11.9,27.29322,45.1482752,20.1231367
"5","Alabama","AL","Blount",1009,"Did Not Expand Medicaid","Metropolitan",11.1,22.4097604,37.991573,15.7298973
"6","Alabama","AL","Bullock",1011,"Did Not Expand Medicaid","Rural",29.7,39.0606836,77.5929978,25.1226848
"7","Alabama","AL","Butler",1013,"Did Not Expand Medicaid","Rural",19.3,31.3415385,52.7395811,22.5635685
"8","Alabama","AL","Calhoun",1015,"Did Not Expand Medicaid","Metropolitan",14.9,29.2518076,51.2935635,20.4770207
"9","Alabama","AL","Chambers",1017,"Did Not Expand Medicaid","Rural",14,29.7603851,56.3559322,19.650677
"10","Alabama","AL","Cherokee",1019,"Did Not Expand Medicaid","Rural",12.8,30.5061357,50.8496254,22.9923067
"11","Alabama","AL","Chilton",1021,"Did Not Expand Medicaid","Metropolitan",16,25.7007061,48.3020918,16.0181557
"12","Alabama","AL","Choctaw",1023,"Did Not Expand Medicaid","Rural",17.4,34.6938776,53.3496162,27.4919181
"13","Alabama","AL","Clarke",1025,"Did Not Expand Medicaid","Rural",17.8,36.5294973,60.339159,26.8204911
"14","Alabama","AL","Clay",1027,"Did Not Expand Medicaid","Rural",15,26.8570362,47.5097025,18.4811123
"15","Alabama","AL","Cleburne",1029,"Did Not Expand Medicaid","Rural",12.2,29.6992793,47.5706835,21.9743711
"16","Alabama","AL","Coffee",1031,"Did Not Expand Medicaid","Rural",13.1,25.2490735,41.0434376,18.1998538
"17","Alabama","AL","Colbert",1033,"Did Not Expand Medicaid","Metropolitan",12.9,22.9840822,35.8409588,17.9539982
"18","Alabama","AL","Conecuh",1035,"Did Not Expand Medicaid","Rural",21.9,30.9789717,52.885906,21.5979307
"19","Alabama","AL","Coosa",1037,"Did Not Expand Medicaid","Rural",8.6,31.6905651,55.4587391,24.3856333
"20","Alabama","AL","Covington",1039,"Did Not Expand Medicaid","Rural",13.2,23.8138655,41.2980378,16.6428571
"21","Alabama","AL","Crenshaw",1041,"Did Not Expand Medicaid","Rural",13.5,27.6676694,44.1589483,20.7291012
"22","Alabama","AL","Cullman",1043,"Did Not Expand Medicaid","Rural",12.3,23.3005199,44.171875,14.8713742
"23","Alabama","AL","Dale",1045,"Did Not Expand Medicaid","Rural",15.5,28.3538703,44.1799376,21.1307182
"24","Alabama","AL","Dallas",1047,"Did Not Expand Medicaid","Rural",25.7,41.5766707,71.9669204,27.7225602
"25","Alabama","AL","DeKalb",1049,"Did Not Expand Medicaid","Rural",16.2,30.6740004,59.1130578,18.0619628
"26","Alabama","AL","Elmore",1051,"Did Not Expand Medicaid","Metropolitan",10.2,21.9434236,37.6266805,15.2657303
"27","Alabama","AL","Escambia",1053,"Did Not Expand Medicaid","Rural",17.9,25.2489257,40.2789982,18.2386393
"28","Alabama","AL","Etowah",1055,"Did Not Expand Medicaid","Metropolitan",13.9,28.2076164,49.6495866,19.7863959
"29","Alabama","AL","Fayette",1057,"Did Not Expand Medicaid","Rural",13.7,32.41014,53.1725223,23.9868099
"30","Alabama","AL","Franklin",1059,"Did Not Expand Medicaid","Rural",17.5,29.6390771,58.0360472,17.101147
"31","Alabama","AL","Geneva",1061,"Did Not Expand Medicaid","Metropolitan",16.8,30.020636,56.217079,19.1206748
"32","Alabama","AL","Greene",1063,"Did Not Expand Medicaid","Rural",33.4,44.8295951,80.8795411,29.0322581
"33","Alabama","AL","Hale",1065,"Did Not Expand Medicaid","Metropolitan",21.2,37.4241679,55.4468535,29.3250951
"34","Alabama","AL","Henry",1067,"Did Not Expand Medicaid","Metropolitan",11.7,29.8652973,51.7511762,21.1528457
"35","Alabama","AL","Houston",1069,"Did Not Expand Medicaid","Metropolitan",14.4,27.3355599,49.5920996,17.9284972
"36","Alabama","AL","Jackson",1071,"Did Not Expand Medicaid","Rural",15.5,27.7793561,51.4865662,18.5102249
"37","Alabama","AL","Jefferson",1073,"Did Not Expand Medicaid","Metropolitan",13.8,24.1571545,43.0862983,16.5151332
"38","Alabama","AL","Lamar",1075,"Did Not Expand Medicaid","Rural",15.9,28.9614029,53.1680441,18.8173422
"39","Alabama","AL","Lauderdale",1077,"Did Not Expand Medicaid","Metropolitan",11.3,22.4525274,44.0561544,14.5946932
"40","Alabama","AL","Lawrence",1079,"Did Not Expand Medicaid","Metropolitan",13.5,25.5319922,45.1044386,17.9897374
"41","Alabama","AL","Lee",1081,"Did Not Expand Medicaid","Metropolitan",13.3,18.6447659,37.9959133,11.403291
"42","Alabama","AL","Limestone",1083,"Did Not Expand Medicaid","Metropolitan",11.2,20.0758873,37.4615487,12.7826298
"43","Alabama","AL","Lowndes",1085,"Did Not Expand Medicaid","Metropolitan",24.7,42.7867121,63.0880579,34.4164456
"44","Alabama","AL","Macon",1087,"Did Not Expand Medicaid","Rural",20.4,33.0882819,65.2303861,22.1183271
