"","WATERSHED","SAMPLE_DATE","SITE_NAME","SITE_TYPE","MEDIUM","PARAM_TYPE","PARAMETER","QUALIFIER","RESULT","UNIT","FILTER","SAMPLE_ID","SAMPLE_SITE_NO","DEPTH_IN_METERS","METHOD","QC_FLAG","PROJECT","Location","DATA_REF_NO","LAT_DD_WGS84","LON_DD_WGS84","SAMPLE_REF_NO","TIME_NULL","QC_TYPE","YEAR"
"1","Barton Creek",2018-12-20,"Barton Spring Pool @ Downstream Dam","Stream","Ground Water","Oxygen","DISSOLVED OXYGEN","","7.72","MG/L","Total","",860,NA,"HYDROLAB","U","Critical Scientific Investigation (CSI)","(30.2640070647195, -97.7693825634433)",2718173,30.2640070647195,-97.7693825634433,561519,FALSE,"","2018"
"2","Barton Creek",2018-12-20,"Barton Spring","Spring","Ground Water","Oxygen","DISSOLVED OXYGEN","","6.62","MG/L","Total","35-Main Spring -Time  10",35,NA,"HYDROLAB","U","Critical Scientific Investigation (CSI)","(30.2635351223695, -97.7709796798271)",2715951,30.2635351223695,-97.7709796798271,561507,FALSE,"","2018"
"3","Barton Creek",2018-12-20,"Barton Spring","Spring","Ground Water","Oxygen","DISSOLVED OXYGEN","","6.91","MG/L","Total","35-Main Spring -Time  8",35,NA,"HYDROLAB","U","Critical Scientific Investigation (CSI)","(30.2635351223695, -97.7709796798271)",2715975,30.2635351223695,-97.7709796798271,561506,FALSE,"","2018"
"4","Barton Creek",2018-12-20,"Eliza Spring","Spring","Ground Water","Oxygen","DISSOLVED OXYGEN","","6.78","MG/L","Total","",428,NA,"HYDROLAB","U","Critical Scientific Investigation (CSI)","(30.2642461579302, -97.7700605859118)",2715963,30.2642461579302,-97.7700605859118,561512,FALSE,"","2018"
"5","Barton Creek",2018-12-20,"Eliza Spring","Spring","Ground Water","Oxygen","DISSOLVED OXYGEN","","6.91","MG/L","Total","",428,NA,"HYDROLAB","U","Critical Scientific Investigation (CSI)","(30.2642461579302, -97.7700605859118)",2718167,30.2642461579302,-97.7700605859118,561518,FALSE,"","2018"
"6","Barton Creek",2018-12-20,"Barton Spring","Spring","Ground Water","Oxygen","DISSOLVED OXYGEN","","6.8","MG/L","Total","35-Main Spring -Time  5",35,NA,"HYDROLAB","U","Critical Scientific Investigation (CSI)","(30.2635351223695, -97.7709796798271)",2715971,30.2635351223695,-97.7709796798271,561505,FALSE,"","2018"
"7","Barton Creek",2018-12-20,"Barton Spring","Spring","Ground Water","Oxygen","DISSOLVED OXYGEN","","6.89","MG/L","Total","35-Main Spring -Time  1",35,NA,"HYDROLAB","U","Critical Scientific Investigation (CSI)","(30.2635351223695, -97.7709796798271)",2718161,30.2635351223695,-97.7709796798271,561508,FALSE,"","2018"
"8","Barton Creek",2018-12-19,"Barton Spring","Spring","Ground Water","Oxygen","DISSOLVED OXYGEN","","6.79","MG/L","Total","MAIN BARTON",35,NA,"HYDROLAB","U","Critical Scientific Investigation (CSI)","(30.2635351223695, -97.7709796798271)",2715967,30.2635351223695,-97.7709796798271,561504,FALSE,"","2018"
"9","Barton Creek",2018-12-11,"Barton Spring Pool @ Downstream Dam","Stream","Ground Water","Oxygen","DISSOLVED OXYGEN","","7.24","MG/L","Dissolved","860-BSP @ Lower Dam",860,NA,"Quanta Probe","U","Barton Springs TPDES","(30.2640070647195, -97.7693825634433)",2689321,30.2640070647195,-97.7693825634433,560876,FALSE,"","2018"
"10","Barton Creek",2018-12-11,"Barton Spring","Spring","Ground Water","Oxygen","DISSOLVED OXYGEN","","7.01","MG/L","Dissolved","35-Barton Spg",35,NA,"Quanta Probe","U","Barton Springs TPDES","(30.2635351223695, -97.7709796798271)",2689324,30.2635351223695,-97.7709796798271,560879,FALSE,"","2018"
