growing.season.length,yield
short,181
short,197
short,184
short,201
short,198
short,216
short,205
short,177
short,179
short,194
short,186
short,200
short,184
short,178
short,199
short,187
short,218
short,189
short,179
short,173
short,181
short,189
short,176
short,177
short,220
short,191
short,184
short,173
short,194
short,187
short,180
short,210
short,191
short,201
short,189
short,197
short,182
short,180
short,180
short,177
middle,202
middle,197
middle,214
middle,209
middle,197
middle,180
middle,201
middle,195
middle,187
middle,210
middle,230
middle,203
middle,210
middle,202
middle,211
middle,220
middle,206
middle,204
middle,295
middle,205
middle,223
middle,201
middle,220
middle,198
middle,205
middle,205
middle,203
middle,182
middle,213
middle,201
middle,191
middle,208
middle,199
middle,200
middle,208
middle,202
middle,197
middle,236
middle,202
middle,203
long,217
long,211
long,219
long,212
long,216
long,200
long,217
long,212
long,222
long,221
long,218
long,216
long,187
long,198
long,210
long,229
long,225
long,230
long,220
long,209
long,216
long,212
long,232
long,190
long,214
long,209
long,202
long,211
long,220
long,210
long,218
long,203
long,214
long,187
long,216
long,185
long,210
long,189
long,207
long,215
