county,FIPS,hd.mortality.rate.2014,life.exp.2014,pct.hs.grad.higher.2014,pct.bach.higher.2014,pct.married.2014,pct.below.poverty.2014,pct.uninsured.2014,unemploy.pct.2014,pct.govt.cash.asst.2014,pct.food.stamps.2014,pct.pop.above.65.2014,pct.white,pct.black,pct.asian,pct.hispanic
"Autauga County, Alabama",1001,316.36,75.67,37.7,4.4,54.3,12.8,10.7,3.9,1.3,12.9,13.86580655,76.6,19.1,0.9,2.7
"Baldwin County, Alabama",1003,272.04,78.08,32.3,8.5,55,13.8,14.7,4.1,1.7,8.1,18.54168654,86.5,9.5,0.7,4.4
"Barbour County, Alabama",1005,255.09,75.42,35.7,2.9,41.4,24.1,15.5,5.8,2.6,26.5,16.5333732,46.6,48,0.6,4.2
"Bibb County, Alabama",1007,378.09,73.97,33.2,1.6,48,17,12.9,4.4,6.2,12.8,14.87068009,76.7,22.1,0,2.4
"Blount County, Alabama",1009,307.9,76.16,34.6,2.4,58.7,17.3,12.1,4,1.2,10.7,16.93990021,95.5,1.6,0.1,9
"Bullock County, Alabama",1011,322.56,73.86,53.8,0,26.5,20.5,17.6,4.9,4.6,24.6,14.64603844,21.9,75.6,0.7,0.3
"Butler County, Alabama",1013,382.55,73.39,32.8,1.9,42.9,25.9,12.8,5.5,1.5,19.3,18.13891756,52.4,44.9,1.1,0.3
"Calhoun County, Alabama",1015,368.25,74.02,30.3,4.3,47.9,21.7,13.2,5,1.6,17.8,16.02741497,74.6,20.5,1,3.6
"Chambers County, Alabama",1017,326.33,74.06,46.8,3.9,43.8,23.9,15.1,4.1,1.1,16.4,18.2548558,57.7,39.3,1,2.2
"Cherokee County, Alabama",1019,301.07,75.08,35.2,4,63.2,21,12.8,4.1,1.4,17.2,20.87869663,93.1,5,0.2,1.6
"Chilton County, Alabama",1021,351.7,74.53,42.9,3.4,55.6,18.8,15.7,4.1,2.1,18.2,14.99920035,83.3,9.6,0.4,7.7
"Choctaw County, Alabama",1023,356.81,75.29,42.3,2.1,46.8,21.5,13.5,6.3,0.4,25.7,20.86055418,56.5,42.3,0.1,0.5
"Clarke County, Alabama",1025,313.4,75.46,53.7,1.2,44,27,15.9,8.5,1,19.4,18.08566258,53.2,45.7,0.5,0.2
"Clay County, Alabama",1027,390.37,75.06,36.6,7.8,53.7,18.7,13.3,4.3,2.7,14.9,19.0922619,83.2,14.8,0,3.1
"Cleburne County, Alabama",1029,360.18,74.3,37.6,5.2,54.1,18.1,13.8,4.5,1.8,15.6,18.18302829,94.6,2.8,0.5,2.4
"Coffee County, Alabama",1031,310.93,76.48,28.9,7.8,50.2,18.8,13,4.4,0.8,13.3,15.87404995,76.3,17.3,1.3,6.7
"Colbert County, Alabama",1033,308.32,75.07,31.2,1.8,52.2,18.3,11.8,5.2,1.3,12.5,18.67151355,79.6,16,0.5,2.4
"Conecuh County, Alabama",1035,349.78,74.05,43.6,2.6,44.8,32.9,21.5,6.1,2.2,17.6,20.84549255,51.3,46.5,0,1.8
"Coosa County, Alabama",1037,301.93,75.19,25.8,0,45.6,20,15.6,4.7,0.8,14.1,20.4113064,65.4,33.2,0,0.1
"Covington County, Alabama",1039,318.86,75.15,38.1,4.3,52.2,20.1,13.9,5.2,0.8,14,19.79023202,84.6,13.2,0.4,1.6
"Crenshaw County, Alabama",1041,313.72,74.07,32.5,6.7,48.7,17.2,12.6,4.5,1.9,18.4,17.90172451,71.5,23.6,1.4,1.8
"Cullman County, Alabama",1043,350.97,75.31,29.5,2.5,57.1,18,15.5,3.8,1.3,12.2,17.54598049,95.5,1.2,0.6,4.2
"Dale County, Alabama",1045,291.55,76.26,41.1,7.4,51,18.7,13,4.5,1.2,18.1,15.41170043,73.3,19.4,1,6.1
"Dallas County, Alabama",1047,412.98,72.39,38.3,2,32,35.9,14.6,7.5,2,31.9,15.74755787,28.2,70.4,0.4,1
"DeKalb County, Alabama",1049,354.46,75.25,32,3.1,55,20.1,17.3,4.5,1.5,17.9,15.76782772,86.3,1.5,0.3,14.3
"Elmore County, Alabama",1051,277.36,75.93,35.8,6.5,51.7,12.9,10.7,3.7,1.4,13.9,13.85413564,75.2,21.4,0.6,2.9
"Escambia County, Alabama",1053,350.49,74.15,32.7,2.9,42.8,26,20.4,5,1.6,18.7,16.5350575,61.4,32.2,0.4,2.2
